epci,libelle_epci,population_carto,effectif_cumu_termine,taux_vaccination_adultes,EPCI 2020,Nom,niveau_vie_median,interdecile,dep,pauvrete40,pauvrete60,vaccination_septembre
200023794,CC DE BLAYE,4240,13500,318.4,200023794.0,Blaye,19720.0,"3,1",33,"12,2","24,1",76.8
200023919,CC GATINAIS VAL DE LOING,2060,11970,581.1,200023919.0,Gâtinais Val de Loing,21070.0,"2,9",77,"10,3","19,4",77.0
200026573,CC HAUT JURA SAINT CLAUDE,2280,12660,555.3,200026573.0,Haut-Jura Saint-Claude,20480.0,"3,0",39,"10,6","21,4",75.0
200027027,CC ARC SUD BRETAGNE,4950,20480,413.7,200027027.0,Arc Sud Bretagne,20850.0,"2,6",56,"5,9","14,6",82.5
200027076,CC ARNON BOISCHAUT CHER,1150,5260,457.4,200027076.0,Arnon Boischaut Cher,20190.0,"2,7",18,"9,7","19,8",78.8
200027100,CC MEDITERRANEE PORTE DES MAURES,9320,31560,338.6,200027100.0,Méditerranée Porte des Maures,21780.0,"3,2",83,"9,3","18,0",74.2
200027183,CU PERPIGNAN MEDITERRANEE METROPOLE,35460,177640,501.0,200027183.0,Perpignan Méditerranée Métropole,18570.0,"3,5",66,"20,8","32,2",73.5
200027217,CC SARLAT PERIGORD NOIR,2260,11200,495.6,200027217.0,Sarlat-Périgord Noir,20050.0,"3,0",24,"10,4","22,0",76.1
200027308,CC D AUBERIVE VINGEANNE ET MONTSAUGEONNAIS,1530,5470,357.5,200027308.0,Auberive Vingeanne et Montsaugeonnais,20690.0,"2,6",52,"5,7","15,0",79.1
200029734,CC DES 4B SUD CHARENTE,2570,13440,523.0,200029734.0,Les 4B Sud Charente,19330.0,"3,0",16,"11,0","22,5",80.4
200029999,CC RIVES DE L AIN PAYS DU CERDON,1340,9460,706.0,200029999.0,Rives de l'Ain - Pays du Cerdon,21290.0,"2,8",01,"7,1","15,6",78.7
200030195,METROPOLE NICE COTE D AZUR,72910,368420,505.3,200030195.0,Nice Côte d'Azur,20920.0,"3,8",06,"15,0","24,9",72.0
200030385,CA DE BLOIS AGGLOPOLYS,11990,73160,610.2,200030385.0,Blois Agglopolys,21060.0,"3,2",41,"13,2","22,1",82.0
200030435,CC D AIRE SUR L ADOUR,1920,8970,467.2,200030435.0,Aire-sur-l'Adour,20400.0,"2,9",40,"10,3","20,1",83.1
200030526,CC DU RIED DE MARCKOLSHEIM,2180,13710,628.9,200030526.0,Le Ried de Marckolsheim,22620.0,"2,6",68,"5,2","11,3",81.1
200030633,CA DU CAUDRESIS ET DU CATESIS,11750,40580,345.4,200030633.0,Le Caudrésis et du Catésis,17740.0,"3,0",59,"19,7","33,1",80.5
200030658,CC DU TRIEVES,1320,6540,495.5,200030658.0,Le Trièves,21280.0,"2,8",38,"7,2","16,4",76.3
200030674,CA VAL DE GARONNE AGGLOMERATION,8160,39750,487.1,200030674.0,Val de Garonne Agglomération,18900.0,"3,0",47,"13,4","25,7",77.2
200032514,CC BERRY LOIRE VAUVISE,890,3640,409.0,200032514.0,Berry-Loire-Vauvise,19080.0,"2,8",18,"10,4","22,1",80.6
200033025,CA DE BAR LE DUC SUD MEUSE,5150,24380,473.4,200033025.0,Bar-le-Duc - Sud Meuse,20710.0,"2,9",55,"11,1","20,2",83.7
200033090,CC PLAINES ET MONTS DE FRANCE,5770,15590,270.2,200033090.0,Plaines et Monts de France,25610.0,"2,5",77,"5,0","7,0",80.2
200033116,CC CLUSES ARVE ET MONTAGNES,4390,29420,670.2,200033116.0,Cluses-Arve et Montagnes,22430.0,"3,2",74,"8,7","17,9",73.3
200033173,CC DE LA HAUTE VALLEE DE CHEVREUSE,3620,17660,487.8,200033173.0,La Haute Vallée de Chevreuse,32250.0,"3,3",78,"5,0","5,5",85.6
200033181,CA CHARTRES METROPOLE,27070,93420,345.1,200033181.0,Chartres Métropole,22310.0,"3,1",28,"9,7","17,7",83.4
200033298,CC DES COEVRONS,3160,17910,566.8,200033298.0,Les Coëvrons,19560.0,"2,5",53,"8,6","19,1",83.2
200033579,CU D ARRAS,9900,75950,767.2,200033579.0,Arras,20820.0,"3,3",62,"14,0","22,9",84.2
200033827,CC DE FIUM ORBU CASTELLU,1430,7030,491.6,200033827.0,Fium'orbu Castellu,18870.0,"3,4",2B,"16,6","28,2",69.0
200033868,CC DES BALLONS DES HAUTES VOSGES,1880,9740,518.1,200033868.0,Les Ballons des Hautes-Vosges,18970.0,"2,6",88,"10,4","22,0",77.0
200034023,CC TARN AGOUT,6870,19120,278.3,200034023.0,Tarn-Agout,22120.0,"2,9",81,"7,2","15,5",77.2
200034031,CC DES MONTS D ALBAN ET DU VILLEFRANCHOIS,880,4170,473.9,200034031.0,Les Monts d'Alban et du Villefranchois,18680.0,"2,8",81,"10,9","24,8",77.8
200034049,CC CENTRE TARN,1580,7270,460.1,200034049.0,Centre Tarn,19510.0,"2,8",81,"10,1","22,3",76.2
200034056,CC DU LAUTRECOIS ET DU PAYS D AGOUT,2960,9250,312.5,200034056.0,Le Lautrécois et du Pays d'Agout,20300.0,"2,8",81,"7,7","18,5",77.7
200034064,CC DU CORDAIS ET DU CAUSSE (4 C),750,2960,394.7,200034064.0,Le Cordais et du Causse (4 C),17820.0,"3,6",81,"16,6","31,9",71.4
200034098,CC DES MONTAGNES DU GIFFRE,1130,8270,731.9,200034098.0,Les Montagnes du Giffre,24460.0,"3,2",74,"5,0","10,0",76.1
200034130,CC GALLY MAULDRE,2210,16240,734.8,200034130.0,Gally Mauldre,34380.0,"4,0",78,"5,0","5,5",86.8
200034197,CC DE MONTAIGNE MONTRAVEL ET GURSON,2280,7880,345.6,200034197.0,Montaigne Montravel et Gurson,18890.0,"2,9",24,"12,4","24,7",76.9
200034205,CC DE LA COSTA VERDE,1230,6200,504.1,200034205.0,La Costa Verde,18230.0,"3,5",2B,"17,9","31,6",68.1
200034270,CC DU PAYS DE BARR,5020,16820,335.1,200034270.0,Le Pays de Barr,23150.0,"2,9",67,"5,7","12,2",81.2
200034379,CC PAYS D UZES,4300,19760,459.5,200034379.0,Pays d'Uzès,19940.0,"3,5",30,"12,9","23,8",76.2
200034411,CC DU PIEMONT CEVENOL,3180,14030,441.2,200034411.0,Le Piémont Cévenol,19130.0,"3,2",30,"14,3","26,6",71.4
200034601,CC CAUSSES AIGOUAL CEVENNES,750,3260,434.7,200034601.0,Causses Aigoual Cévennes,17160.0,"3,4",30,"19,7","33,6",66.3
200034635,CC DU KOCHERSBERG,2450,19610,800.4,200034635.0,Le Kochersberg,26570.0,"2,9",67,"5,0","6,3",88.1
200034692,CA DU GARD RHODANIEN,10840,47110,434.6,200034692.0,Le Gard Rhodanien,20350.0,"3,2",30,"13,6","23,5",72.2
200034700,CA DURANCE LUBERON VERDON AGGLOMERATION,8100,39300,485.2,200034700.0,Durance-Lubéron-Verdon Agglomération,20480.0,"3,3",83,"13,1","23,1",68.1
200034718,"CC DE VITRY, CHAMPAGNE ET DER",3050,15410,505.2,200034718.0,"Vitry, Champagne et Der",18990.0,"3,0",51,"14,8","27,0",80.2
200034726,CC BASTIDES DE LOMAGNE,1470,7310,497.3,200034726.0,Bastides de Lomagne,20770.0,"3,0",32,"9,1","19,0",79.2
200034825,CA DU GRAND GUERET,5190,20020,385.7,200034825.0,Le Grand Guéret,20550.0,"3,0",23,"12,1","21,3",82.3
200034833,CC DES BASTIDES DORDOGNE PERIGORD,2920,12560,430.1,200034833.0,Les Bastides Dordogne-Périgord,19490.0,"3,1",24,"10,6","21,5",76.7
200034874,CC COTES DE MEUSE WOEVRE,1250,3800,304.0,200034874.0,Côtes de Meuse Woëvre,19830.0,"2,8",55,"8,7","17,8",77.7
200034882,CC PAYS DU MONT BLANC,4670,31730,679.4,200034882.0,Pays du Mont-Blanc,23290.0,"3,1",74,"5,5","12,6",78.7
200034957,CC DU FRONTONNAIS,1990,18280,918.6,200034957.0,Le Frontonnais,23340.0,"2,8",31,"5,5","11,8",80.0
200035087,CA TERRE DE PROVENCE,7180,39620,551.8,200035087.0,Terre de Provence,20400.0,"3,2",13,"10,3","21,3",72.4
200035103,CC DE LA VALLEE DE LA HAUTE SARTHE,1320,4990,378.0,200035103.0,La Vallée de la Haute-Sarthe,19580.0,"2,8",61,"9,0","20,8",81.5
200035111,CC DES SOURCES DE L ORNE,1370,7650,558.4,200035111.0,Les Sources de l'Orne,19520.0,"2,7",61,"10,3","22,1",83.5
200035129,CC DE CEZE CEVENNES,3240,12420,383.3,200035129.0,Cèze Cévennes,17520.0,"3,2",30,"19,4","33,3",72.0
200035137,CC MARCHE OCCITANE VAL D ANGLIN,1180,4640,393.2,200035137.0,Marche Occitane - Val d'Anglin,17960.0,"2,9",36,"12,3","26,1",82.8
200035202,CC CHARLIEU BELMONT,2800,15540,555.0,200035202.0,Charlieu-Belmont,20340.0,"2,6",42,"7,2","16,3",80.7
200035319,CA VAR ESTEREL MEDITERRANEE (CAVEM),17370,84540,486.7,200035319.0,Var Estérel Méditerranée (Cavem),21570.0,"3,6",83,"11,0","20,2",72.7
200035327,CC CAZALS SALVIAC,740,3520,475.7,200035327.0,Cazals-Salviac,18410.0,"3,3",46,"12,4","25,3",76.0
200035442,CC DU SUD ARTOIS,3410,17990,527.6,200035442.0,Le Sud-Artois,19510.0,"2,8",62,"10,4","21,6",83.9
200035459,CA D AGEN,10920,64570,591.3,200035459.0,Agen,20400.0,"3,2",47,"13,4","23,2",78.0
200035533,CC DU GRAND SAINT EMILIONNAIS,2930,10020,342.0,200035533.0,Le Grand Saint-Émilionnais,20660.0,"3,2",33,"7,6","16,9",82.3
200035541,CC DES LANDES D ARMAGNAC,1630,7460,457.7,200035541.0,Les Landes d'Armagnac,19690.0,"2,8",40,"9,5","20,6",83.1
200035632,CC ARMAGNAC ADOUR,1060,4500,424.5,200035632.0,Armagnac Adour,19190.0,"3,0",32,"12,7","25,7",79.3
200035707,CC PIEGE LAURAGAIS MALEPERE,3100,9600,309.7,200035707.0,Piège Lauragais Malepère,18930.0,"3,0",11,"13,6","26,5",72.5
200035715,CA CARCASSONNE AGGLO,13520,74280,549.4,200035715.0,Carcassonne Agglo,18670.0,"3,3",11,"18,8","30,2",76.7
200035723,CC VENTOUX SUD,970,5210,537.1,200035723.0,Ventoux Sud,19180.0,"3,2",84,"13,4","24,9",69.2
200035731,CA ROANNAIS AGGLOMERATION,13510,70210,519.7,200035731.0,Roannais Agglomération,20000.0,"3,0",42,"12,1","21,9",82.3
200035756,CC ASTARAC ARROS EN GASCOGNE,1260,4920,390.5,200035756.0,Astarac Arros en Gascogne,19760.0,"3,0",32,"9,1","20,5",79.5
200035764,CC DE LA BEAUCE LOIRETAINE,1320,10300,780.3,200035764.0,La Beauce Loirétaine,22240.0,"2,4",45,"5,0","12,0",85.3
200035772,CC DU PAYS DU SAINTOIS,3010,9780,324.9,200035772.0,Le Pays du Saintois,21900.0,"2,6",54,"5,0","12,3",85.8
200035814,CA FLERS AGGLO,9500,36310,382.2,200035814.0,Flers Agglo,19430.0,"2,7",61,"11,5","21,5",84.2
200035848,CC DU CHATILLONNAIS EN BERRY,930,3960,425.8,200035848.0,Le Châtillonnais en Berry,18640.0,"2,8",36,"11,2","22,1",84.2
200035855,CC CASTELNAUDARY LAURAGAIS AUDOIS,2930,15870,541.6,200035855.0,Castelnaudary Lauragais Audois,19410.0,"3,0",11,"12,6","24,1",75.6
200035863,"CC REGION LEZIGNANAISE, CORBIERES ET MINERVOIS",4880,20960,429.5,200035863.0,"Région Lézignanaise, Corbières et Minervois",17830.0,"3,2",11,"17,0","30,4",74.0
200035970,CC VEXIN CENTRE,1780,16900,949.4,200035970.0,Vexin Centre,26440.0,"2,8",95,"5,0","7,5",83.0
200036069,CC DU PAYS DE MORTAGNE AU PERCHE,1820,8960,492.3,200036069.0,Le Pays de Mortagne-au-Perche,19690.0,"3,0",61,"10,6","20,4",82.1
200036077,CC DU GOLFE DE SAINT TROPEZ,8890,43070,484.5,200036077.0,Le Golfe de Saint-Tropez,21210.0,"4,0",83,"10,4","20,5",73.6
200036135,CC COUR DE FRANCE,2790,12020,430.8,200036135.0,Cœur de France,19090.0,"2,9",18,"13,8","24,0",79.9
200036150,CC DES HAUTS DU VAL DE SAONE,1270,5650,444.9,200036150.0,Les Hauts du Val de Saône,18760.0,"2,8",70,"13,0","25,7",81.5
200036465,CC DE THANN CERNAY,3800,24190,636.6,200036465.0,Thann-Cernay,22040.0,"3,1",68,"9,2","17,7",75.1
200036473,CA DE SAINTES,11310,41830,369.8,200036473.0,Saintes,20570.0,"3,0",17,"10,3","19,2",80.0
200036499,CC DE MARANA GOLO,2460,15110,614.2,200036499.0,Marana-Golo,20200.0,"3,3",2B,"13,2","23,7",68.5
200036523,CC DES BASTIDES EN HAUT AGENAIS PERIGORD,2710,11210,413.7,200036523.0,Les Bastides en Haut-Agenais Périgord,18870.0,"3,1",47,"12,0","24,8",76.9
200036549,CC VAL DE GRAY,2530,13170,520.6,200036549.0,Val de Gray,19410.0,"2,9",70,"11,9","23,0",80.3
200036572,CC PORTE D AQUITAINE EN PAYS DE SERRES,560,3210,573.2,200036572.0,Porte d'Aquitaine en Pays de Serres,20310.0,"3,0",47,"9,5","20,1",77.3
200037059,CC DE LA HAUTE SOMME,3470,19160,552.2,200037059.0,La Haute-Somme,18940.0,"2,9",80,"13,9","26,1",84.4
200037133,CC DU PROVINOIS,3090,21890,708.4,200037133.0,Le Provinois,20400.0,"3,1",77,"12,1","22,7",79.6
200038958,CC DE LA PIEVE DE L ORNANO ET DU TARAVO,1820,8050,442.3,200038958.0,La Piève de l'Ornano et du Taravo,22880.0,"4,0",2A,"10,0","17,5",74.1
200038990,CC DE SAINT MEEN MONTAUBAN,2550,18190,713.3,200038990.0,Saint-Méen Montauban,20480.0,"2,4",35,"6,3","15,3",82.9
200039022,CA VITRE COMMUNAUTE,6990,56060,802.0,200039022.0,Vitré Communauté,20860.0,"2,4",35,"5,4","13,2",83.7
200039055,CC OUCHE ET MONTAGNE,1480,7550,510.1,200039055.0,Ouche et Montagne,23470.0,"2,5",21,"5,0","7,5",83.8
200039063,"CC FORETS, SEINE ET SUZON",870,4730,543.7,200039063.0,"Forêts, Seine et Suzon",24740.0,"3,0",21,"5,0","8,6",85.2
200039204,CC DE LACQ ORTHEZ,10030,35160,350.5,200039204.0,Lacq-Orthez,20680.0,"2,8",64,"8,9","18,3",79.9
200039519,CC DU QUERCY BLANC,1200,5000,416.7,200039519.0,Le Quercy Blanc,19220.0,"3,2",46,"11,0","24,5",75.1
200039642,CC LE TONNERROIS EN BOURGOGNE,2570,10290,400.4,200039642.0,Le Tonnerrois en Bourgogne,19250.0,"3,0",89,"13,5","24,2",81.1
200039709,CC DU SEREIN,1260,4690,372.2,200039709.0,Le Serein,20130.0,"2,9",89,"8,7","17,8",80.7
200039758,"CC AVALLON, VEZELAY, MORVAN",2400,12380,515.8,200039758.0,"Avallon, Vézelay, Morvan",19620.0,"2,9",89,"11,5","21,7",80.0
200039808,CC DES GORGES DE L ARDECHE,2180,10420,478.0,200039808.0,Les Gorges de l'Ardèche,19700.0,"3,1",07,"10,7","22,3",73.9
200039824,CC ARDECHE DES SOURCES ET VOLCANS,1390,5740,412.9,200039824.0,Ardèche des Sources et Volcans,18270.0,"3,0",07,"12,6","26,1",69.5
200039832,CC PAYS DES VANS EN CEVENNES,1480,5970,403.4,200039832.0,Pays des Vans en Cévennes,18630.0,"3,5",07,"17,6","29,2",69.5
200039857,CA DU PAYS DE GRASSE,15080,67290,446.2,200039857.0,Le Pays de Grasse,22640.0,"3,4",06,"9,2","17,5",70.9
200039865,METZ METROPOLE,20530,151510,738.0,200039865.0,Metz Métropole,21110.0,"3,9",57,"16,1","25,7",79.9
200039907,CC DU SUD MESSIN,2260,11680,516.8,200039907.0,Le Sud Messin,23680.0,"2,6",57,"5,0","9,7",86.9
200039915,CA CANNES PAYS DE LERINS,23070,114620,496.8,200039915.0,Cannes Pays de Lérins,21060.0,"3,8",06,"12,8","23,2",72.5
200039931,CC ALPES D AZUR,1120,4740,423.2,200039931.0,Alpes d'Azur,19170.0,"3,1",06,"13,9","25,1",66.5
200039949,CC RIVES DE MOSELLE,5310,35160,662.1,200039949.0,Rives de Moselle,21500.0,"3,2",57,"11,1","19,9",79.5
200040038,CC SAONE DOUBS BRESSE,1240,8280,667.7,200040038.0,Saône Doubs Bresse,20740.0,"2,5",71,"5,1","13,9",83.4
200040095,CC ISLE VERN SALEMBRE EN PERIGORD,3270,12410,379.5,200040095.0,Isle Vern Salembre en Périgord,19610.0,"2,7",24,"11,3","21,2",80.2
200040111,CC COUR DE CHARTREUSE,1660,11170,672.9,200040111.0,Cœur de Chartreuse,21840.0,"2,5",73,"5,7","13,3",78.9
200040137,CC DES LACS DE CHAMPAGNE,1330,6330,475.9,200040137.0,Les Lacs de Champagne,19450.0,"3,0",10,"12,7","22,7",83.2
200040178,CC DE L OUTRE FORET,2410,10860,450.6,200040178.0,L'Outre-Forêt,22960.0,"2,7",67,"5,0","11,2",79.3
200040202,CC PROVENCE VERDON,3240,13190,407.1,200040202.0,Provence Verdon,20080.0,"3,0",83,"10,8","21,6",64.6
200040210,CC LACS ET GORGES DU VERDON,1770,5610,316.9,200040210.0,Lacs et Gorges du Verdon,19230.0,"3,4",83,"14,0","26,6",69.0
200040244,CA DU BOCAGE BRESSUIRAIS,8330,49060,589.0,200040244.0,Le Bocage Bressuirais,19340.0,"2,5",79,"9,6","19,9",81.4
200040251,CC BASSEE MONTOIS,2070,14940,721.7,200040251.0,Bassée-Montois,21870.0,"2,6",77,"6,0","14,7",79.9
200040277,CA DU PAYS DE DREUX,12090,71600,592.2,200040277.0,Le Pays de Dreux,20250.0,"3,1",28,"13,1","23,5",78.3
200040293,CC DU CLUNISOIS,1850,8930,482.7,200040293.0,Le Clunisois,20810.0,"2,8",71,"8,4","17,1",81.8
200040350,CC BUGEY SUD,4290,21680,505.4,200040350.0,Bugey Sud,20950.0,"2,9",01,"9,1","19,1",77.0
200040384,CC ISLE DOUBLE LANDAIS,1840,8280,450.0,200040384.0,Isle Double Landais,18860.0,"2,9",24,"13,9","26,2",76.5
200040392,CA LE GRAND PERIGUEUX,12920,73540,569.2,200040392.0,Le Grand Périgueux,20550.0,"3,0",24,"11,1","20,6",79.9
200040400,CC DU PERIGORD RIBERACOIS,2990,13330,445.8,200040400.0,Le Périgord Ribéracois,18810.0,"3,0",24,"12,8","24,6",81.4
200040418,CC DU PAYS DE SERRES EN QUERCY,1420,5200,366.2,200040418.0,Le Pays de Serres en Quercy,17650.0,"3,3",82,"16,4","30,4",71.3
200040426,CC DU VAL DE L OISE,2030,11040,543.8,200040426.0,Le Val de l'Oise,20180.0,"2,9",02,"11,7","22,4",86.3
200040442,CA LUBERON MONTS DE VAUCLUSE,7060,35380,501.1,200040442.0,Luberon Monts de Vaucluse,19600.0,"3,5",84,"14,8","26,6",70.1
200040459,CA MONTELIMAR AGGLOMERATION,15760,43500,276.0,200040459.0,Montélimar Agglomération,20460.0,"3,3",26,"13,0","23,8",74.0
200040475,CC LOUE BRULON NOYEN,1760,12170,691.5,200040475.0,Loué - Brûlon - Noyen,20110.0,"2,4",72,"7,3","16,8",84.3
200040491,CC PORTE DE DROMARDECHE,4730,29770,629.4,200040491.0,Porte de Drômardèche,19880.0,"2,7",26,"10,7","22,0",76.1
200040509,CC DU CRESTOIS ET DE PAYS DE SAILLANS COUR DE DROME,2020,9790,484.7,200040509.0,Le Crestois et de Pays de Saillans Cœur de Drôme,19530.0,"2,9",26,"12,9","24,5",67.1
200040558,CC ECUEILLE VALENÇAY,1590,7470,469.8,200040558.0,Écueillé-Valençay,18810.0,"2,7",36,"10,8","21,5",80.6
200040566,CA DE L OUEST RHODANIEN,5700,32290,566.5,200040566.0,L'Ouest Rhodanien,20340.0,"2,7",69,"10,3","20,2",79.1
200040574,CC BEAUJOLAIS PIERRES DOREES,5640,37420,663.5,200040574.0,Beaujolais Pierres Dorées,25530.0,"2,9",69,"5,0","8,3",84.4
200040590,CA VILLEFRANCHE BEAUJOLAIS SAONE,8610,47880,556.1,200040590.0,Villefranche Beaujolais Saône,20700.0,"3,3",69,"15,2","25,7",79.1
200040624,CC PAYS D APT LUBERON,4040,18130,448.8,200040624.0,Pays d'Apt-Luberon,19350.0,"3,5",84,"14,4","26,2",70.8
200040657,CC DE LA MATHEYSINE,2250,12960,576.0,200040657.0,La Matheysine,20990.0,"2,7",38,"8,0","17,4",75.7
200040681,CC ENCLAVE DES PAPES PAYS DE GRIGNAN,2850,14670,514.7,200040681.0,Enclave des Papes-Pays de Grignan,19510.0,"3,2",84,"14,1","25,8",71.6
200040715,GRENOBLE ALPES METROPOLE,120080,294690,245.4,200040715.0,Grenoble-Alpes-Métropole,22100.0,"3,5",38,"12,7","21,4",81.3
200040764,CC DU SUD CORSE,3630,15640,430.9,200040764.0,Le Sud Corse,19100.0,"3,7",2A,"13,9","26,6",66.3
200040772,CC DU PERCHE ET HAUT VENDOMOIS,1230,6160,500.8,200040772.0,Le Perche et Haut Vendômois,20380.0,"2,6",41,"8,0","17,2",82.9
200040798,CC VAL VANOISE,970,6400,659.8,200040798.0,Val Vanoise,23190.0,"3,1",73,"5,0","10,8",78.2
200040814,CC BRIANCE SUD HAUTE VIENNE,1090,6200,568.8,200040814.0,Briance Sud Haute Vienne,20270.0,"2,8",87,"8,0","20,1",83.9
