Région,Département,Commune,Nom du festival,Début,Fin,Genre,Site web,Téléphone,,Texte,"Lon,Lat",Nom,Fonction,Citation
Auvergne-Rhône-Alpes,Puy-de-Dôme,Clermont-Ferrand,Europavox,30/06/2022,03/07/2022,Musique,europavoxfestivals.com,,,"La musique européenne contemporaine s'installe sur la place du 1er mai pour trois jours de festivités. Font partie de la programmation cette année : Claire Laffut, Lujipeka, Yseult, Clara Luciani, Angèle, Emilie Zoé, Vladimir Cauchemar, Romane Santarelli, Kane, Xinobi et Malaka. ","3.053296,45.755755",,,
Auvergne-Rhône-Alpes,Isère,Vienne ,Jazz à Vienne,29/06/2022,13/07/2022,Musique,jazzavienne.com,04 74 78 87 87,,"Trois scènes principales parmi les 37 lieux de festivités sont mises en place pour accueillir les artistes. Celle du théâtre antique reçoit Herbie Hancock, Thomas de Pourquery, Yann Tiersen et MC Solaar et Angélique Kidjo. Cette dernière invite pour une carte blanche la chanteuse nigériane Yemi Alade et le guitariste de jazz cubain Joel Hierrezuelo. ","4.837252,45.4867009",,,
Auvergne-Rhône-Alpes,Haute-Savoie,Evian-les-Bains,Rencontres musicales d'Evian ,25/06/2022,02/07/2022,Musique,lagrangeaulac.com,04 50 26 85 00,,"Dans la salle en bois de la Grange au Lac, l'orchestre de Genève et celui des pays de Savoie ouvrent le bal. Au menu, Le Printemps de Debussy, L'Oiseau de feu de Stravinsky, Le Corsaire de Berlioz et le Concerto pour piano n°2 de Berlioz. A noter le récital du jeune pianiste Alexandre Kantorow, gagnant du concours Tchaïkovski en 2019.","6.568017,46.3787809",,,
Auvergne-Rhône-Alpes,Isère,Autrans,Vercors Music Festival,01/07/2022,03/07/2022,Musique,vercorsmusicfestival.com,,,"Programmation variée sur les trois scènes du massif du Vercors avec à l'affiche Ben Mazué, Biglo et Oli, Cléa Vincent, Laura Cahen, Lombre etc. ","5.507998,45.15516",,,
Auvergne-Rhône-Alpes,Savoie,Aix-les-bains,Musilac,06/07/2022,10/07/2022,Musique,www.musilac.com,04 79 88 68 05,"Presse : bipcom

isaberanger@bipcom.fr - 06 08 60 14 17
barbaraaugier@bipcom.fr - 06 63 84 45 73","La musique pop-rock s'invite sur l'Esplanade du Lac du Bourget. Sont notamment attendus Orelsan, Clara Luciani, Nada Surf, Fishbach, Gaëtan Roussel, Terrenoire, Aloïse Sauvage et Benjamin Biolay. ","5.871147,45.664681",,,
Auvergne-Rhône-Alpes,Rhône,Vénissieux ,Fêtes escales,14/07/2022,16/07/2022,Musique,"ville-venissieux.fr

",04 72 21 44 98,Tél 04 72 21 44 44,"Trois jours de concerts et spectacles gratuits au coeur du parc Louis-Dupic. L'ouverture se passe en compagnie de la maîtrise de l’Opéra de Lyon, un chœur d’enfants dirigé par Ophélia Besson et accompagné au piano par Gregory Kirche. Ils interprétent des classiques du répertoire européen. Chanson française, rap, rumba etc. sont aussi au programme avec Camélia Jordana, Ti’Kaniki, le trio Ghetto Kumbe, Scylla, Chilla et Slimka.","4.7718489,45.707486",,,
Auvergne-Rhône-Alpes,Savoie,Bourg-Saint-Maurice,Festival de musique des Arcs,15/07/2022,29/07/2022,Musique,festivaldesarcs.com,,,"Divers lieux de la station sont investis pour une quarantaine de concerts, des conférences, des ateliers et des débats. La thématique de l'année, « Les musiques romantiques françaises » offre un répertoire qui va de musiciens célèbres comme Gabriel Fauré, Georges Bizet, César Franck à des personnalités plus confidentielles comme Reynaldo Hahn ou Henri Duparc. Une soirée est consacrée aux femmes romantiques françaises, Mel Bonis, Cécile Chaminade, Louise Farrenc et Clémence de Grandval ","6.6708751,45.547671",,,
Auvergne-Rhône-Alpes,Haute-Savoie,Saint-Julien-en-Genevois,Guitare en scène,13/07/2022,17/07/2022,Musique,guitare-en-scene.com,,,"La particularité de l'événement tient dans sa volonté de créer des rencontres entre des artistes émergents et les professionnels et entre les artistes eux-mêmes. Dans cette idée des sessions de jams sont organisées. Parmi les musiciens on trouve cette année Jeff Beck, Scorpions, Deep Purple, Nik West, The Prize, One Rusty band et Laura Cox. ","6.0468073,46.1228909",,,
Auvergne-Rhône-Alpes,Puy-de-Dôme,Pontaumur,Bach en Combrailles,08/08/2022,13/08/2022,Musique,bachencombrailles.com,04 73 79 91 00,"Accent Tonique, Véronique Furlan – Tél. : 01 74 80 48 26 & 06 09 56 41 90 – accent-tonique-vf@orange.fr","Du trépas à la vie, des ténèbres à la lumière, c'est le voyage musical proposé. Parmi les 21 escales, le concert d'ouverture dévoile les sept cantates Membra Jesu Nostri de Dietrich Buxtehude par l'ensemble lyonnais Correspondances.","2.6276901,45.8396561",,,
Auvergne-Rhône-Alpes,Isère,Mens,Mens alors!,01/08/2022,06/08/2022,Musique,mensalors.fr,,Marc Chonier,"Cinq jours de musique, de danse et de contes au coeur du territoire du Trièves, au sud de l'Isère. Sont attendus : Leïla Martial, André Minvielle & Papanosh ""Prevert Parade"", La Litanie des Cimes, Christophe Girard Sextet, Suzanne (Jazz Migration), Mamie Jotax, la Campagnie des Musiques à Ouïr, Napoleon Maddox & Sorg, Pelouse, Boris Boublil-Mù feat. John Parish, Faune, Cannibale, Cyril Cyril.","5.691832,44.783831",,,
Auvergne-Rhône-Alpes,Isère,La-Côte-Saint-André,Festival Berlioz,18/08/2022,31/08/2022,Musique,festivalberlioz.com,04 74 20 20 79,Valérie Samuel (Opus 64) / Sophie Nicoly / Pablo S. Ruiz : 01 40 26 77 94 s.nicoly@opus64.com,"Dans la cour du Château Louis XI, à l’église de La Côte-Saint-André, au musée Hector-Berlioz ou encore dans la halle médiévale et au parc Allivet la programmation convie. Les deux grands concerts d'ouverture sont un récital avec l'Oresteïa de Iannis Xenakis inspirée de la trilogie de L’Orestie de Virgile en première partie de soirée et un concert ""Saint-Saëns le voyageur"" avec l’orchestre Divertimento de Zahia Ziouani accompagné de la flûtiste Silvia Careddu, du clarinettiste Patrick Messina, l’ensemble Amedyez et Rachid Brahim-Djelloul au chant et violon traditionnel.","5.229596,45.3464959",,,
Auvergne-Rhône-Alpes,Haute-Loire,Le Puy-en-Velay et Alentour,Festival de la Chaise-Dieu,18/08/2022,28/08/2022,Musique,chaise-dieu.com,04 71 00 01 16,,"La plupart des concerts ont lieu à l'abbatiale Saint-Robert de la Chaise Dieu et dans les églises et collégiales de Haute-Loire, du Puy-de-Dôme et de la Loire. L'ensemble Les Accents propose leur version d’Il Sedecia, oratorio romain de 1705, dernier volet du cycle consacré aux oratorios d’Alessandro Scarlatti. L'orchestre symphonique allemand les Berliner Symphoniker fait son retour avec le Concerto pour la main gauche de Ravel, le Rhapsody in Blue de Gershwin et les Danses symphoniques de Rachmaninov. ","3.8848688197085,45.0390571197085",,,
Auvergne-Rhône-Alpes,Rhône,Miribel-Jonage (Vaulx-en-Velin),Woodstower,24/08/2022,28/08/2022,Musique,woodstower.com,09 51 57 58 96,,"Les bords du lac du Grand Parc Miribel Jonage accueillent les festivaliers pour cinq jours de concerts électro et rap. Un événement qui revendique son positionnement écologique avec des scénographies imaginées à partir de matériaux recyclés, un choix de prestataires locaux et un travail sur la réduction des déchets.","4.9397558197085,45.7971055197085",,,
Auvergne-Rhône-Alpes,Haute-Savoie,Thonon-les-Bains,Montjoux festival,07/07/2022,09/07/2022,Musique,montjouxfestival.com,,,"Une grande scène et une scène nouveaux talents se partagent les artistes programmés pour trois soirées de concerts. Ayo, Janie Doe, Youssou N'Dour, Na+Na, Ben Mazué, Adama Koëta et Arnito font partie des invités. 

","6.439421,46.344076",,,
Auvergne-Rhône-Alpes,Drôme,Saoû,Saoû chante Mozart,08/07/2022,24/07/2022,Musique,saouchantemozart.com,04 75 41 00 18,,"Piano, piano-forte et clavecins sont à l'honneur grâce au fil rouge de cette année, les claviers. L’intégrale des 18 sonates pour piano sont programmées. Une ""journée dans les arbres"" est prévue avec des concerts dans la forêt et l'ouverture au lever du soleil dans les jardins du château d’Eurre.","5.038708,44.621816",,,
Auvergne-Rhône-Alpes,Allier,Vichy ,Portrait(s),24/06/2022,04/09/2022,Photo / Art contemporain,ville-vichy.fr/expositions/festival-portrait,04 70 32 15 33,,"Pour célébrer leur dix ans, les expositions se tiennent au palais des Congrès en plus des lieux extérieurs. L'oeuvre de Meryl Meisler nous plonge dans le New York des années 1970 et 1980. Elle expose deux mondes différents, celui de la nuit avec des clichés des soirées disco et des clubs de strip-tease et celui de sa vie d'enseignante en dévoilant les photos d'un collège dans le quartier de Bushwick, à Brooklyn. Une rétrospective du photographe Omar Victor Diop expose ses travaux mettant en lumière de grandes figures africaines oubliées et différents mouvements de résistance Noirs dans le monde depuis deux siècles.","3.4052679,46.1106529",,,
Auvergne-Rhône-Alpes,Loire,Saint-Etienne ,Festival des 7 Collines ,23/06/2022,02/07/2022,Théâtre / Arts de la rue / Cirque,festivaldes7collines.com,,http://www.festivaldes7collines.com/fr/presse/presentation/,"Le festival se concentre sur la danse et le cirque même si quelques concerts sont aussi prévus. Dans Katharsis, la danse contemporaine et la danse aérienne se rencontrent dans une création poétique de la Compagnie Rythmic. Dj Dino accompagne FIQ !, la performance colorée des artistes du groupe acrobatique de Tanger","4.2440541,45.371484",,,
Auvergne-Rhône-Alpes,Isère,Grenoble,Rencontres du jeune théâtre européen ,01/07/2022,10/07/2022,Théâtre / Arts de la rue / Cirque,"crearc.fr
",04 76 01 01 41,,"Pas moins de 15 compagnies venues de 13 pays se produisent en salle et dans les rues. Toutes les formes de théâtre seront représentées : classique ou contemporain, création collective, musical etc. La parade spectacle de clôture a lieu dans les rues ainsi qu'au théâtre de Verdure du Musée. Elle se déroule sur le thème du Ragnarök, un mythe scandinave qui traite de la fin d’un monde et de sa renaissance.","5.6780039,45.154005",,,
Auvergne-Rhône-Alpes,Drôme,Grignan ,Les fêtes nocturnes ,24/06/2022,20/08/2022,Théâtre / Arts de la rue / Cirque,ladrometourisme.com/,04 75 91 83 65 ,https://www.chateaux-ladrome.fr/fr/saison-2017-2018/evenements/noces-de-sang,"Les Fâcheux, comédie ballet en trois actes de Molière est la pièce choisie pour être jouée cette année devant la façade du château de Grignan. La comédienne et docteure en littérature et arts du spectacle Julia de Gasquet met en scène la pièce créée à l'origine au château de Vaux-le-Vicomte.  ","4.854393,44.395624",,,
Auvergne-Rhône-Alpes,Isère,Les Adrets en Belledonne,Festival de l'Arpenteur ,02/07/2022,09/07/2022,Théâtre / Arts de la rue / Cirque,https://www.scenes-obliques.eu/festival/,04 76 71 16 48,04 76 71 16 48,"""Composer les mondes"" reste le fil rouge de ce festival. Parmi les temps forts, une conférence musicale entre l'astrophysicien Aurélien Barrau et le musicien Ayoub Faouzi ; une exposition présente les oeuvres du projet ""Migration"" de Maryam Gholam Ali, artiste plasticienne afghane, exilée en France ; une journée ""Pentes afghanes"" propose autour de cette exposition, une rencontre avec l'artiste et Sakineh Gholam Ali, styliste et costumière puis un concert de la musicienne Nasima Omid et enfin la projection du film Syngué sabour - Pierre de patience ; la pièce Et les animaux réapparurent de la compagnie Teatro delle Ariette ; et un concert de l'artiste vocale et improvisatrice Leila Martial avec son trio Baa Box composé également du batteur Eric Perez et du guitariste Pierre Tereygeol.
","5.9415229,45.2345489",,,
Auvergne-Rhône-Alpes,Ardèche,Alba-la-Romaine ,Le festival d'Alba,12/07/2022,17/07/2022,Théâtre / Arts de la rue / Cirque,lefestivaldalba.org,,,"Pas moins de sept lieux d'Alba la romaine sont investis par l'art circassien. Au théâtre antique, le groupe Acrobatique de Tanger présente FIQ! (Réveille-toi !) / O.U.T.S.I.D.E, mis en scène par Maroussia Diaz Verbèke. Une suite d’acrobaties de figures et autres glissades de 15 artistes habillés par le photographe Hassan Hajjaj, le tout accompagné aux platines par Dj DINO. Au théâtre de la Roche, la compagnie Singulière se pose des questions : ""À quoi joue le monde ? A-t-on encore l’espoir d’échapper à une société de vigilance ?"" et y répond à travers son spectacle Amal/game/S ou le cirque sécuritaire.
","4.552831,44.522499",,,
Auvergne-Rhône-Alpes,Cantal,Aurillac,Festival d'Aurillac,17/08/2022,20/08/2022,Théâtre / Arts de la rue / Cirque,aurillac.net,04 71 43 43 70 ,,"L'événement met à l'honneur les artistes de rue au sens large : performance, musique, théâtre etc. Dix-neuf compagnies sont attendues avec en prime ""Le rendez-vous des Compagnies de passage"" qui ouvre le festival aux artistes qui veulent y prendre part en auto-production. Le collectif Balle Perdue présente I'm not Giselle Carter. Entre musique, texte, danse, le spectacle commence par l'annonce de la mort de Beyoncé, et pose la question de la notoriété moderne, notamment due aux réseaux sociaux. Les Dakh Daughters viennent avec leur spectacle Ukraine fire, à l'origine un cabaret punk féministe, mis à jour pour refléter la réalité de la guerre. 
","2.390477,44.890088",,,
Bourgogne Franche-Comté,Nièvre,Authiou,Chemin des Arts,29/07/2022,31/07/2022,Danse,festivalcheminsdesarts.com,03 86 60 15 56,06 81 47 12 68,"La bergerie de Soffin dans la commune rurale d'Authiou accueille divers spectacles de danse. Des créations et des déambulations pour porter la danse au plus près du public. Avec Transhumance artistique, Sylvère Lamotte, danseur et chorégraphe a imaginé une performance pour emmener les spectateurs dans une itinérance avec les artistes. Une balade faite pour revisiter les notions de paysage et de frontière.","3.3893311,47.2506701",,,
Bourgogne Franche-Comté,Saône-et-Loire,Givry,Les Musicaves,29/06/2022,03/07/2022,Musique,https://festival-les-musicaves.fr/,03 85 48 37 97 (châlons) ; 03 85 44 43 36 (Givry),,"Au Domaine Thenard et au Domaine Besson les concerts et la dégustation de vin se mêlent. Un voyage sensoriel avec pas moins de 11 événements musicaux prévus. La chanteuse Nesrine, dont la voix en arabe, français et anglais est accompagnée de mélodies arabo-andalouses, classique, jazz, pop et soul fait partie des artistes invités. ","4.692074,46.74255",,,
Bourgogne Franche-Comté,Doubs,Audincourt,Rencontres et Racines,24/06/2022,26/06/2022,Musique,rencontresetracines.audincourt.fr,03 81 36 37 79,,"Dans le parc Japy au centre ville d’Audincourt, 31 concerts sont proposés. Mc Solaar, Georgio, Deluxe, Jahneration, Emir Kusturica, les Têtes Raides, Balthazar, James BKS, Kalika et KT Gorique sont programmés. Des artistes locaux comme Mystically et Two Tone Club sont également invités. A noter : pas de stands commerciaux mais des associations qui composent un ""village"" et proposent des activités et leur savoir-faire culinaire entre ti punch et un poulet mafé. ","6.8143699,47.462605",,,
Bourgogne Franche-Comté,Saône-et-Loire,Couches,Jazz à Couches,06/07/2022,09/07/2022,Musique,jazzacouches.fr,03 85 49 66 29,,"Les musiciens du Blue Quartet entament les festivités, suivis de l'orchestre du Big Band de Couches avec le vibraphoniste Franck Tortiller qui compose et arrange spécialement pour le groupe. A noter, un concert-dégustation dans le Château de Couches et un festival off qui se tient dans le centre du village.","4.519818,46.8489629",,,
Bourgogne Franche-Comté,Territoire de Belfort,Belfort,Les Eurockéennes,30/06/2022,03/07/2022,Musique,eurockeennes.fr,,,"De la presqu'île du Malsaucy, les festivaliers pourront profiter des deux plans d'eau et écouter Muse, Stromae, Nike Cave, Clara Luciani, H.E.R, Meute, Big Thief, Girl in red, Last Train, Emilie Zoé...","6.787417,47.6203341",,,
Bourgogne Franche-Comté,Côte d'Or,Beaune,Festival international d'opéra baroque et romantique ,08/07/2022,31/07/2022,Musique,festivalbeaune.com/,03 80 22 97 20,,"Pour la 40e édition, la direction artistique a demandé aux chefs qui ont fait leurs débuts à Beaune la reprise de l’un de leurs grands succès ou une nouvelle production lyrique. Parmi la programmation foisonnante, de neuf opéras et 2 récitals, trois oeuvres d'Haendel : Partenope, opéra comique, Giulio Cesare et l'oratorio Solomon.","4.786901,46.9955299",,,
Bourgogne Franche-Comté,Doubs,Métabief,Festival de la Paille,29/07/2022,30/07/2022,Musique,festivalpaille.fr,03 84 25 24 77,,"Nichée au coeur des montagnes du Jura, la scène se place aux pieds des pistes de la station Métabief. Dans ce panorama exceptionnel, les festivaliers pourront écouter Kimberose, Morcheeba, Grand Corps Malade, Fallen Lillies etc.","6.3309861,46.745994",,,
Bourgogne Franche-Comté,Jura,Fraisans,No Logo,12/08/2022,14/08/2022,Musique,nologofestival.fr,03 81 81 70 51,,"C'est dans l'ancien site métallurgique des Forges de Fraisans que les trois scènes se déploient. Principalement du reggae, mais la folk, le R&B, le hip-hop, la soul et la dub sont aussi au menu. Sara Lugo et Supa Mana, Daman, EMÉA, Steel Alive figurent parmi les artistes invités 
","5.7293909,47.0966861",,,
Bourgogne Franche-Comté,Saône-et-Loire,Bourgogne du Sud,Jazz Campus en Clunisois,20/08/2022,27/08/2022,Musique,jazzcampus.fr,07 68 23 76 74,,"A Cluny, au théâtre, au parc abbatial ou encore dans l'abbaye, les artistes confirmés ou émergents se retrouvent. Parmi les temps forts, le quartet  Racines porté par trois générations de musiciens fait la part belle aux musiques traditionnelles de Turquie, d'Arménie, de Moldavie accompagnées de quelques compositions originales. ","3.622593,46.15607",,,
Bourgogne Franche-Comté,Yonne,Vézelay,Rencontres musicales de Vézelay,25/08/2022,28/08/2022,Musique,https://www.lacitedelavoix.net/festival/rencontres-musicales-de-vezelay/,03 86 94 84 40,,La basilique Sainte-Marie-Madeleine de Vézelay s'emplit de musique trois soirs de suite avec notamment le Stabat Mater de Poulenc par les ensembles Aedes et Les Siècles sous la direction de Mathieu Romano. Mais la musique classique résonne aussi dans les églises ou en pleine nature dans la journée. Un bal des rencontres est organisé autour des musiques tsiganes et des ateliers de beatbox et de chant bulgare sont aussi prévus.,"3.6733031,47.423767",,,
Bourgogne Franche-Comté,Doubs,Besançon,Festival de musique de Besançon,09/09/2022,18/09/2022,Musique,festival-besancon.com,03 81 25 05 85,03 81 25 05 81,"Six grandes formations symphoniques internationales sont invitées dont l'orchestre de la Radio de Francfort, l'orchestre Philharmonique Royal de Liège et l'orchestre de chambre fribourgeois. Microscope, une création d'Alexandros Markeas, compositeur en résidence, est jouée pour célébrer le bicentenaire de la naissance de Louis Pasteur, avec la maîtrise de Dole sous la direction de Nicolas Charrière.","5.9408869,47.2006871",,,
Bourgogne Franche-Comté,Jura,Moirans-en-Montagne,Ideklic,12/07/2022,15/07/2022,Théâtre / Arts de la rue / Cirque,ideklic.fr,03 84 42 00 28,,"Le festival dédié à la jeunesse et l'enfance se consacre cette année à la thématique ""Un rêve de marionnettes"".  La compagnie Les Anges au plafond présente Le Cri quotidien, deux  lectures  parallèles, d'un texte et d'une partition, révèlent des marionnettes de papiers qui s'échappent pour raconter histoires et poésies. Côté théâtre d’objets, la compagnie Gare Centrale joue son spectacle Il n’y a rien dans ma vie qui montre que je suis moche intérieurement.","5.6785261,46.406328",,,
Bourgogne Franche-Comté,Saône-et-Loire,Chalon-sur-Saône,Chalon dans la rue,20/07/2022,24/07/2022,Théâtre / Arts de la rue / Cirque,chalondanslarue.com,03 85 90 94 74,,"La ville se transforme en scène ouverte avec la participation de 150 compagnies. Une édition dont le fil conducteur ‘‘Ici et là’’ permet de célébrer le présent, les artistes et leurs visions du monde. L'espace public devient agora et laisse la place à diverses propositions entre ""l'Aube de la création"" qui dévoile ses spectacles en cours de montage, les ""Partis-pris de création"" avec 18 compagnies qui investissent le territoire et la ""sélection off"" avec pas moins de 123 spectacles. 
","4.8194928,46.760277",,,
Bretagne,Finistère,Saint-Briac-sur-mer,Festival Air de fête ,09/07/2022,18/09/2022,Photo / Art contemporain,fracbretagne.fr,02 99 88 32 34,,"Dans les rues de Saint-Briac, une expérience à ciel ouvert est proposée. Le parcours présente les oeuvres de l'artiste Elsa Tomkowiak. L'espace public se pare de couleurs, qui sont pour elle comme une pulsion organique. La singularité de son travail tient autant de la vivacité de ces couleurs que d'une pratique qui se joue des volumes et des frontières. ","-4.301928,48.425152",,,
Bretagne,Morbihan,Saint-Nolff,Motocultor Festival,18/08/2022,21/08/2022,Musique,motocultor-festival.com/,,,"Quatre scènes sont installées pour recevoir principalement les sons métal avec Powerwolf, Behemoth, Kreator, Apocalyptica, Cult of Luna, Testament. Une journée est aussi dédiée au rock avec The Libertines, The Hives, Slift, The Inspector Cluzo, Clutch et The Young Gods. Enfin, Denez et Plantec raviront les amateurs de musiques traditionnelles.  ","-2.7031458,47.7065853",,,
Bretagne,Finistère,Clohars-Carnoët,Exposition Les Pas ,02/07/2022,18/09/2022,Autres,fracbretagne.fr,02 98 71 53 90,,"L'univers de Jean Jullien est peuplé de Paper people, des personnages de papier qu'il décline dans ses illustrations et productions. Dans une fiction artistique qui traverse le village, un de ses fameux Paper people part en voyage retrace l'histoire des peintres qui se sont succédé sur ces routes. ","-3.6032475,47.7980584",,,
