code_commune,code_dep_min,ROUSSEL,MÉLENCHON,MACRON,JADOT,DUPONT-AIGNAN,POUTOU,LASSALLE,HIDALGO,ARTHAUD,PÉCRESSE,LE PEN,ZEMMOUR
90001,90,22,96,165,41,19,6,19,7,7,24,180,63
29001,29,25,108,156,18,15,10,30,12,3,34,159,38
93001,93,416,11392,3108,496,167,104,175,150,129,427,1727,699
01001,01,6,66,150,30,21,3,18,5,3,26,149,43
71001,71,7,76,141,28,13,2,23,9,5,19,159,35
79001,79,10,68,159,14,12,2,20,11,4,39,119,26
85001,85,54,266,681,54,52,19,59,24,10,123,645,173
66001,66,0,19,4,0,4,3,5,2,1,8,12,7
88001,88,1,6,8,4,0,0,2,1,1,3,16,5
38001,38,50,636,699,116,99,23,103,52,24,153,1196,253
83001,83,23,195,435,73,46,7,48,24,5,77,456,234
26001,26,9,83,63,18,5,0,19,6,4,10,76,13
986001,986,34,501,2115,72,244,48,78,118,98,1354,579,118
55002,55,0,5,10,2,4,0,9,0,1,5,25,5
25002,25,3,42,56,13,4,1,8,8,3,12,51,12
60002,60,7,100,128,22,8,1,9,5,3,33,176,31
54002,54,4,21,47,4,1,3,10,2,1,3,38,7
39002,39,0,10,5,7,2,0,2,0,0,1,2,1
80002,80,0,16,24,3,4,1,6,2,3,4,86,5
62002,62,2,8,33,3,3,0,8,0,3,6,47,5
95002,95,12,110,159,22,22,6,16,4,6,20,152,57
70002,70,3,9,39,9,2,0,6,2,1,6,51,9
57002,57,1,1,11,3,0,0,1,0,0,0,22,2
59002,59,90,319,374,42,28,18,20,15,15,35,1019,103
64002,64,8,2,30,1,3,0,22,3,1,6,21,6
02002,02,3,46,59,8,8,3,4,4,1,15,151,31
27002,27,3,51,45,6,3,2,12,2,1,16,91,19
67002,67,4,17,62,4,6,4,17,0,4,14,82,23
79002,79,0,38,82,8,2,3,7,4,2,12,30,3
34002,34,20,149,134,33,23,7,47,9,10,26,282,56
65002,65,14,60,139,12,15,2,41,4,1,21,124,46
21002,21,4,61,45,17,4,4,5,7,1,11,23,11
2B002,2B,2,25,27,1,0,0,12,1,0,9,39,11
47002,47,0,10,20,1,1,0,6,0,0,3,33,12
50002,50,58,420,1074,149,48,16,49,59,18,195,407,96
24002,24,42,202,261,40,24,11,76,31,4,34,268,72
03002,03,27,51,35,5,6,0,9,5,0,1,40,18
17002,17,3,13,26,3,3,1,8,0,1,2,29,3
12002,12,15,129,153,27,4,4,54,11,2,12,134,35
88002,88,1,6,9,3,0,0,1,2,0,0,19,0
31002,31,5,43,25,12,2,1,12,7,0,12,51,7
44002,44,39,451,845,162,53,23,50,52,5,74,444,101
52002,52,0,0,2,1,0,0,1,0,1,2,5,2
89002,89,3,7,20,5,4,0,4,1,1,6,14,1
30002,30,13,89,89,13,15,4,25,15,3,10,185,53
81002,81,37,313,343,52,43,7,149,34,13,45,476,125
69002,69,2,9,48,2,7,2,8,2,1,15,48,9
09002,09,10,97,77,10,8,3,23,8,1,15,137,21
43002,43,23,163,271,51,14,5,35,28,5,85,140,76
83002,83,2,20,41,4,5,2,9,1,0,8,35,16
07002,07,21,101,68,25,8,1,10,7,7,11,68,29
45002,45,5,23,53,2,5,1,6,3,1,22,97,24
33002,33,14,88,121,13,8,8,33,8,2,35,103,27
42002,42,1,13,19,7,3,1,11,4,0,1,38,10
10002,10,4,28,41,2,3,2,3,2,1,4,55,8
72002,72,3,20,49,4,2,3,3,0,0,17,47,7
18002,18,5,9,20,1,3,2,5,2,3,4,40,11
11002,11,6,17,29,10,2,1,6,1,0,9,36,10
19002,19,11,54,64,6,4,4,14,10,0,32,67,14
63002,63,5,12,19,3,2,1,9,0,0,9,15,4
36002,36,2,12,14,1,2,0,8,3,0,10,18,13
23002,23,13,108,131,7,16,8,31,23,2,28,143,22
48002,48,8,63,96,6,6,1,34,8,0,28,104,30
46002,46,0,17,10,0,1,1,17,2,0,6,19,3
82002,82,43,319,354,48,48,14,119,30,17,83,608,158
26002,26,29,172,266,34,43,10,51,45,11,36,369,83
74002,74,24,287,328,94,53,15,33,27,8,60,345,96
66002,66,126,401,444,74,43,10,72,49,11,65,767,150
53002,53,5,45,104,11,5,1,12,1,3,15,96,15
94002,94,409,6786,4485,1009,272,147,285,375,121,692,2330,1234
13002,13,305,1701,3148,494,285,57,363,161,48,524,4362,1949
15002,15,3,17,33,7,4,1,18,1,1,14,51,9
58002,58,22,78,107,17,9,9,34,7,3,14,219,33
49002,49,36,178,430,46,34,6,46,13,7,81,510,111
61002,61,16,42,103,14,12,1,17,6,3,19,114,23
68002,68,2,32,61,9,20,3,8,1,3,6,92,13
76002,76,11,44,78,11,13,4,7,3,4,13,155,13
35002,35,17,205,360,88,26,18,29,18,7,43,216,60
87002,87,156,690,808,119,57,45,195,71,23,139,1079,172
86002,86,6,45,90,10,4,4,12,6,5,11,114,13
37002,37,15,183,279,34,24,5,38,17,3,26,318,58
56002,56,32,254,542,69,30,18,48,23,4,65,272,64
77002,77,2,65,90,12,11,3,21,5,3,28,152,40
06002,06,0,7,8,1,1,1,3,1,0,3,18,7
40002,40,33,122,254,17,18,6,152,31,2,46,208,62
22002,22,31,125,294,33,9,2,24,19,4,36,155,19
90002,90,6,38,52,10,6,2,12,4,0,6,74,13
41002,41,10,62,110,10,13,6,21,7,1,29,187,48
32002,32,3,14,5,2,2,1,6,2,1,1,20,3
84002,84,5,137,169,37,29,0,20,4,3,30,154,70
92002,92,596,8002,12282,2279,449,169,534,554,95,2815,2869,2291
29002,29,15,188,198,52,16,13,34,21,5,28,208,43
71002,71,13,118,178,13,20,7,23,13,2,24,257,56
01002,01,7,41,50,10,0,3,10,3,2,8,23,14
85002,85,18,174,460,56,32,15,41,14,6,60,401,98
16002,16,12,64,61,5,5,5,17,9,3,11,83,19
38002,38,19,219,189,81,12,6,12,11,0,29,78,43
51002,51,16,87,215,20,22,7,16,7,5,38,286,76
25003,25,5,31,24,3,7,4,4,5,2,5,78,17
60003,60,6,44,89,14,5,3,8,3,0,13,151,16
39003,39,0,9,10,2,0,1,2,0,0,0,5,1
64003,64,3,41,34,3,5,3,21,2,1,1,38,4
78003,78,45,402,553,69,55,14,43,24,9,111,482,130
54003,54,1,6,19,1,3,0,3,3,2,6,29,2
57003,57,10,84,185,43,20,3,21,11,6,42,305,70
80003,80,7,48,107,9,10,4,5,1,3,8,135,15
62003,62,17,56,115,24,2,4,16,12,2,14,132,20
70003,70,0,5,5,4,3,0,0,1,1,5,22,6
27003,27,13,149,271,53,24,8,12,4,5,57,300,77
02003,02,11,97,128,24,16,4,20,8,4,25,249,44
65003,65,6,15,19,7,0,1,11,9,0,0,11,3
34003,34,330,2600,3835,476,381,116,530,201,72,834,6581,2257
47003,47,10,31,58,4,6,1,15,7,4,22,60,26
38003,38,17,132,175,17,13,2,25,10,1,27,247,55
50003,50,46,373,993,133,48,13,48,38,10,174,285,151
16003,16,15,96,86,17,10,8,29,6,1,12,166,35
14003,14,6,39,77,12,2,2,1,1,3,8,40,8
21003,21,17,151,344,47,25,1,25,23,4,73,207,98
59003,59,0,26,38,6,14,0,7,3,0,5,82,19
79003,79,97,688,1259,231,61,28,77,110,30,145,679,118
08003,08,25,164,238,51,22,6,29,8,6,51,344,69
51003,51,3,10,39,2,8,1,3,0,2,5,73,11
31003,31,8,155,360,69,10,7,37,26,3,59,124,73
17003,17,67,492,709,118,75,32,127,44,20,103,779,137
30003,30,97,775,1243,138,78,25,213,57,19,238,2042,542
05003,05,6,66,59,10,10,1,17,5,1,16,28,13
52003,52,3,8,17,1,3,0,3,0,1,7,53,4
03003,03,16,64,178,15,10,6,20,12,5,41,205,37
88003,88,0,7,14,0,3,0,2,0,0,2,19,1
2B003,2B,3,11,14,7,0,0,7,1,0,1,8,3
10003,10,55,295,444,29,52,13,42,23,16,93,693,185
07003,07,9,44,24,7,1,2,9,1,0,2,17,11
85003,85,102,819,2340,316,140,44,166,96,48,273,1294,217
11003,11,0,21,35,3,1,2,5,9,0,7,35,4
81003,81,12,77,159,15,11,6,79,22,4,27,114,32
19003,19,4,42,47,3,3,2,22,5,0,18,35,2
69003,69,15,271,460,87,22,7,41,22,4,88,278,121
67003,67,6,48,78,16,10,2,15,11,8,8,75,26
74003,74,2,120,244,74,15,4,22,4,4,39,89,46
26003,26,0,6,8,1,2,0,2,2,0,1,10,7
28003,28,1,17,23,0,2,0,2,0,1,8,33,2
13003,13,38,291,425,88,49,15,80,31,10,71,503,161
48003,48,9,59,47,2,1,1,26,9,0,18,30,14
71003,71,9,61,123,13,9,2,20,6,5,27,159,49
23003,23,0,15,18,2,3,0,4,0,0,6,22,2
58003,58,7,47,92,20,12,6,10,3,5,10,142,47
72003,72,207,1169,1008,164,91,34,62,78,29,133,1250,190
15003,15,29,41,76,5,5,3,53,6,3,46,106,19
43003,43,6,77,120,13,11,4,28,4,4,41,155,39
46003,46,13,126,111,29,18,3,37,12,4,29,77,23
33003,33,213,1826,1837,253,160,94,304,198,34,217,2288,486
63003,63,143,524,1010,116,77,35,203,47,34,182,930,176
42003,42,30,308,295,40,40,7,73,16,2,33,327,70
37003,37,126,1367,2050,346,144,39,118,127,45,369,1378,421
36003,36,13,117,79,14,14,5,33,9,4,21,204,20
53003,53,46,204,524,57,23,16,51,25,13,85,332,73
77003,77,1,27,69,8,2,2,8,3,0,20,69,22
83003,83,14,123,96,28,19,10,22,5,4,20,163,65
66003,66,37,352,458,47,56,16,111,60,10,72,782,250
44003,44,123,1398,2190,491,138,56,136,158,36,352,1076,290
86003,86,5,48,67,16,2,6,10,3,4,5,49,18
06003,06,4,75,65,13,13,5,29,2,6,21,152,43
35003,35,14,96,172,37,16,5,16,12,2,26,94,18
82003,82,1,12,20,2,4,0,20,3,0,8,67,10
40003,40,5,43,39,4,1,3,15,8,2,1,50,9
90003,90,13,72,85,20,11,3,12,6,4,17,125,43
32003,32,0,8,9,0,2,0,7,0,0,1,7,4
84003,84,95,1336,1180,171,112,39,159,49,24,237,1299,385
94003,94,349,3760,2171,549,130,84,116,134,47,256,926,512
41003,41,22,46,127,11,12,2,11,5,1,14,70,26
87003,87,26,124,139,14,4,2,50,10,1,22,145,26
56003,56,87,651,1793,356,63,24,83,76,13,320,374,291
22003,22,25,153,119,17,15,10,11,10,4,8,150,60
29003,29,64,465,833,132,31,19,84,47,12,188,463,129
73003,73,64,379,537,111,68,15,91,29,12,109,580,148
09003,09,9,33,48,7,3,1,18,2,3,11,88,22
18003,18,27,135,277,18,27,8,30,18,12,37,324,49
12003,12,10,44,41,3,12,5,17,8,1,20,58,11
89003,89,45,230,432,59,61,16,49,17,10,94,540,135
49003,49,12,200,302,41,22,13,35,15,3,60,233,48
25004,25,12,71,121,15,13,7,21,5,2,17,257,61
39004,39,0,6,13,0,0,0,3,1,0,6,9,5
64004,64,2,21,7,3,4,1,26,1,0,1,19,4
57004,57,1,5,10,1,1,2,1,1,0,6,27,3
80004,80,13,45,68,9,7,2,9,4,4,12,109,16
62004,62,163,923,1259,174,84,34,108,88,40,133,1204,213
60004,60,3,32,49,5,10,0,3,2,0,20,93,20
70004,70,4,31,17,4,13,0,3,2,3,14,74,16
54004,54,1,9,16,4,5,1,6,2,2,8,39,11
34004,34,6,35,26,8,2,2,8,5,0,10,33,15
02004,02,3,16,28,4,6,1,6,2,0,9,42,2
65004,65,0,37,82,19,15,5,36,12,1,8,60,11
27004,27,3,43,52,6,6,2,8,1,1,9,71,19
21004,21,1,19,65,4,3,1,3,3,1,9,54,13
30004,30,68,383,460,86,42,13,81,21,7,63,612,143
47004,47,62,464,404,36,33,15,109,40,10,72,519,167
73004,73,4,68,77,12,10,1,11,2,3,21,51,21
55004,55,2,3,14,2,0,0,1,0,0,2,15,4
52004,52,0,0,4,0,1,0,2,0,0,1,4,0
88004,88,0,6,14,2,3,0,2,1,0,8,47,6
08004,08,2,31,32,5,2,1,8,0,0,12,42,4
50004,50,4,34,59,5,9,5,15,4,1,17,151,15
89004,89,5,12,29,3,1,2,10,1,1,7,55,4
59004,59,20,94,302,27,14,3,18,4,2,65,199,51
2A004,2A,558,3283,4174,719,377,203,1671,225,70,1003,6717,2979
24004,24,8,53,43,7,1,3,11,2,4,15,52,10
07004,07,4,29,21,6,0,1,7,2,0,1,8,1
11004,11,4,24,37,4,3,2,9,1,0,8,43,15
81004,81,655,5939,6896,1314,409,190,1006,736,105,1169,4186,1627
09004,09,0,27,15,1,2,1,13,5,1,3,23,5
19004,19,25,104,94,17,10,3,52,14,3,41,110,26
69004,69,11,53,112,26,10,0,8,5,1,25,102,36
26004,26,21,286,448,77,46,7,39,25,8,85,409,139
04004,04,5,83,57,16,7,4,16,9,1,5,104,26
51004,51,2,1,27,1,0,0,5,3,0,15,19,5
43004,43,2,22,13,6,0,1,16,0,2,8,31,9
10004,10,0,9,19,1,2,3,4,0,0,11,56,10
18004,18,20,74,195,32,10,5,17,11,2,36,179,73
28004,28,1,21,40,5,6,2,7,1,0,14,88,6
58004,58,10,25,65,5,5,1,8,2,1,3,63,21
74004,74,3,61,54,24,8,2,11,5,0,12,59,18
71004,71,25,77,223,20,29,4,11,20,3,35,193,51
12004,12,3,40,117,13,9,2,31,6,2,19,36,9
48004,48,2,36,35,12,3,0,16,0,1,6,45,26
68004,68,37,494,785,149,81,23,85,36,13,119,634,214
76004,76,16,47,81,8,4,2,3,3,2,9,134,13
33004,33,64,380,316,32,32,20,61,39,5,25,533,75
01004,01,173,1604,1453,287,181,43,177,112,38,309,1646,530
45004,45,129,1077,1884,210,133,35,165,88,39,383,1742,417
72004,72,9,58,82,15,9,2,10,5,0,19,92,26
05004,05,13,141,191,42,17,0,60,11,3,39,168,58
37004,37,4,37,77,14,8,5,5,8,6,22,74,9
03004,03,1,15,36,3,3,0,12,0,4,14,43,9
15004,15,3,44,76,12,4,0,24,5,3,11,83,10
77004,77,6,17,49,6,6,1,3,0,0,12,68,14
46004,46,7,41,42,2,2,0,14,11,0,9,20,2
85004,85,67,277,642,65,54,11,63,23,13,109,656,171
86004,86,11,81,89,12,4,3,5,4,0,13,48,9
40004,40,30,224,413,46,33,6,134,34,1,53,250,82
36004,36,1,24,54,5,5,2,14,3,0,16,83,11
06004,06,470,5908,11163,1843,914,214,828,453,104,2528,9625,5471
23004,23,15,68,79,10,7,3,19,8,0,17,91,17
32004,32,2,13,22,3,5,2,10,6,0,3,24,4
90004,90,7,50,72,13,6,3,14,5,1,19,101,48
13004,13,785,7636,5291,922,442,183,833,343,104,758,7468,2472
41004,41,7,19,42,5,3,1,4,1,0,10,77,5
56004,56,27,247,379,55,26,11,29,22,6,51,273,56
82004,82,2,7,17,2,4,1,4,4,0,7,27,14
84004,84,53,488,772,123,77,25,106,42,13,111,1105,365
87004,87,5,16,23,2,0,1,5,2,0,3,6,2
31004,31,34,465,510,124,26,16,100,60,6,54,314,108
29004,29,93,776,886,190,64,71,154,73,30,88,811,199
94004,94,167,2348,1519,202,149,34,112,93,23,253,970,329
22004,22,141,587,686,117,34,55,103,55,22,108,777,108
17004,17,4,47,64,10,1,3,8,2,3,13,22,13
38004,38,23,153,173,35,18,8,19,12,5,27,195,53
63004,63,29,208,250,23,25,10,40,39,8,26,264,53
66004,66,3,60,173,23,5,6,25,12,4,41,129,67
83004,83,67,669,907,147,113,25,133,52,21,146,1434,460
67004,67,12,114,239,46,36,5,24,17,3,34,318,78
35004,35,39,352,691,63,58,24,60,31,25,105,653,124
64005,64,10,56,98,17,5,3,71,12,1,14,87,20
25005,25,2,7,11,0,1,0,5,0,0,0,33,4
62005,62,11,72,121,13,6,9,16,7,4,19,230,27
78005,78,224,3146,2519,428,152,78,162,127,43,452,1576,533
60005,60,7,74,74,8,9,2,10,4,4,21,165,35
54005,54,1,11,23,2,6,1,6,1,1,3,19,9
80005,80,1,13,11,2,1,0,3,1,1,0,15,1
34005,34,6,51,36,16,2,4,7,6,3,10,32,11
02005,02,1,28,54,5,1,2,6,4,1,12,99,19
16005,16,20,108,233,13,19,3,38,18,4,53,238,41
30005,30,2,24,63,8,2,0,17,5,0,6,31,9
70005,70,2,6,25,1,3,2,5,4,1,9,25,4
73005,73,7,39,21,17,6,0,8,5,1,9,20,10
27005,27,13,82,168,21,18,5,15,5,4,26,249,49
79005,79,38,256,606,45,62,16,70,26,11,117,563,82
21005,21,26,120,223,30,27,3,23,6,3,35,298,54
52005,52,0,2,1,0,1,0,2,2,0,2,11,3
11005,11,25,138,162,31,20,7,57,24,2,19,287,71
31005,31,4,58,37,11,3,3,15,13,1,6,52,11
2B005,2B,1,7,0,1,1,1,10,0,2,0,0,0
07005,07,32,284,197,62,13,8,46,13,4,27,173,61
81005,81,5,49,70,11,9,3,30,14,0,15,105,22
09005,09,1,46,25,1,2,0,7,2,1,7,26,11
08005,08,0,7,34,6,2,0,3,0,1,7,25,3
26005,26,34,128,309,55,31,21,55,14,6,50,325,125
88005,88,3,19,31,6,5,0,7,3,2,11,35,30
17005,17,5,8,51,1,4,0,3,2,0,4,35,2
19005,19,85,448,588,78,42,20,169,53,15,177,647,112
47005,47,8,52,90,4,5,5,18,8,3,22,71,21
51005,51,3,6,24,1,0,1,0,2,2,14,30,6
38005,38,27,119,190,34,10,7,18,16,4,41,134,39
59005,59,114,351,639,98,46,14,53,40,16,67,661,147
24005,24,10,58,47,8,8,2,25,3,2,14,67,7
43005,43,6,49,24,3,4,1,10,3,1,19,29,10
65005,65,17,49,80,16,9,2,34,9,2,1,64,25
74005,74,34,428,834,210,116,28,94,33,21,134,662,231
04005,04,7,26,21,2,1,0,17,1,0,2,14,3
18005,18,14,106,177,15,13,6,22,9,6,24,182,28
28005,28,9,67,107,10,9,1,14,5,7,22,150,20
67005,67,4,46,181,24,28,3,13,4,5,34,129,41
71005,71,5,24,57,13,1,1,6,4,3,5,39,17
10005,10,5,12,31,2,4,0,7,2,3,6,61,13
55005,55,0,4,17,2,3,0,2,0,0,0,8,2
58005,58,7,14,31,4,6,0,8,1,2,11,42,5
69005,69,5,35,83,12,8,0,13,1,1,24,122,38
01005,01,19,137,279,41,27,2,24,14,8,48,352,77
76005,76,43,413,392,55,29,13,36,40,14,39,374,91
68005,68,17,134,435,77,22,3,40,13,4,38,206,98
72005,72,10,72,163,25,10,2,16,7,3,30,147,27
89005,89,15,97,96,11,16,4,12,5,1,20,154,35
33005,33,186,1358,3243,496,156,51,447,164,26,564,1620,795
45005,45,1,22,34,2,6,1,4,3,0,12,36,11
53005,53,42,260,427,80,34,10,36,30,8,60,306,48
42005,42,92,872,1469,181,97,36,115,78,28,218,1195,355
15005,15,5,41,43,4,8,4,22,5,2,27,73,14
46005,46,4,46,58,7,4,0,12,6,3,15,45,5
86005,86,3,68,88,7,14,2,7,3,4,9,128,26
66005,66,8,87,74,17,2,1,24,10,6,8,56,24
77005,77,41,306,472,88,44,7,32,20,11,104,461,172
85005,85,7,55,248,16,12,1,29,8,8,44,141,32
37005,37,11,55,64,12,11,4,21,1,2,5,85,19
63005,63,3,36,52,8,9,1,21,5,2,22,62,15
48005,48,1,29,56,10,2,0,30,3,2,10,45,8
61005,61,2,26,49,5,4,2,5,1,2,16,51,6
32005,32,6,27,57,8,2,0,27,7,0,16,60,13
40005,40,1,15,58,0,3,0,13,5,0,7,23,4
35005,35,1,27,50,5,2,1,9,2,1,5,56,5
03005,03,5,34,29,4,9,3,10,8,2,12,41,12
36005,36,48,329,642,73,63,27,85,34,21,97,643,135
23005,23,3,13,22,4,1,1,4,2,0,10,31,7
83005,83,4,45,39,7,6,2,9,0,0,14,89,34
56005,56,38,200,817,92,28,11,41,25,7,200,256,167
06005,06,8,29,29,3,5,0,11,3,0,14,34,20
13005,13,628,5719,4831,927,538,158,518,238,94,834,6824,2448
82005,82,27,169,174,32,19,8,62,17,2,35,235,62
93005,93,465,15141,5740,712,357,134,423,234,143,1193,3822,1514
87005,87,31,140,180,26,7,8,36,25,4,29,179,36
84005,84,1,19,31,5,5,2,4,1,0,10,39,17
90005,90,9,61,68,10,4,3,8,3,3,7,85,23
29005,29,35,168,273,35,18,15,47,22,6,34,177,46
22005,22,34,142,159,25,9,12,24,11,5,14,148,29
44005,44,103,742,1222,220,150,37,146,79,32,170,1034,192
14005,14,26,151,301,36,32,11,42,19,6,37,292,67
64006,64,17,98,67,13,6,9,45,12,3,9,34,14
57006,57,7,75,104,20,41,7,20,8,10,18,211,49
62006,62,8,17,58,3,5,1,7,1,0,14,82,14
78006,78,5,71,166,16,3,4,11,8,2,49,97,74
25006,25,0,1,16,1,1,1,9,0,1,3,17,7
80006,80,4,9,52,0,3,1,7,0,0,5,51,5
54006,54,9,36,116,21,9,3,8,6,1,12,51,29
39006,39,6,59,75,23,2,5,14,6,0,10,58,14
34006,34,5,37,35,7,6,1,12,3,0,10,41,19
70006,70,8,107,158,25,37,9,17,17,3,32,359,39
30006,30,68,559,546,69,68,19,116,21,15,85,1266,274
73006,73,63,529,777,205,74,35,126,66,14,164,650,152
21006,21,1,9,15,5,4,3,1,1,0,2,27,4
02006,02,0,19,39,4,0,2,4,1,1,7,74,17
27006,27,2,16,41,4,3,0,3,0,1,3,23,5
2A006,2A,92,261,273,65,45,21,183,15,3,82,589,235
11006,11,4,16,14,6,3,1,5,6,0,0,7,3
31006,31,6,35,52,3,2,2,14,4,1,6,26,22
07006,07,4,49,12,4,3,4,12,8,1,4,22,9
81006,81,6,28,46,6,5,0,13,0,1,6,29,12
08006,08,3,14,37,6,3,1,10,3,0,5,72,12
17006,17,5,24,49,5,3,1,14,1,0,10,44,5
24006,24,5,33,27,7,0,1,13,2,2,7,41,6
38006,38,40,648,540,141,59,24,67,38,15,90,461,168
26006,26,32,424,396,102,39,12,72,32,10,64,414,115
19006,19,4,10,25,1,1,2,5,2,0,8,16,1
47006,47,5,64,101,8,6,5,31,7,0,17,106,26
51006,51,0,19,19,4,2,1,4,1,1,5,34,5
09006,09,1,17,5,6,0,1,4,0,0,2,9,1
52006,52,2,17,21,3,5,1,4,1,1,3,119,13
74006,74,18,175,297,87,38,9,34,17,3,46,256,95
04006,04,14,53,76,17,11,6,37,5,3,33,146,58
43006,43,2,7,27,1,4,0,12,3,0,11,39,7
12006,12,4,37,97,11,12,0,33,2,0,21,37,10
67006,67,1,10,30,3,7,0,6,1,1,8,58,15
71006,71,7,23,54,4,2,1,6,0,0,13,20,2
14006,14,17,120,209,36,13,2,21,17,5,29,140,39
88006,88,5,9,40,2,5,0,9,3,3,14,73,14
01006,01,6,15,21,2,1,0,2,2,0,9,16,3
76006,76,0,14,32,4,1,0,1,4,0,7,40,5
59006,59,2,18,37,2,2,1,7,1,1,5,54,7
50006,50,2,13,29,5,1,1,6,0,1,2,29,6
28006,28,29,147,335,31,32,12,29,17,11,62,367,56
69006,69,37,482,678,95,76,16,91,40,17,125,754,198
65006,65,6,25,42,16,7,0,37,5,1,11,36,12
89006,89,4,14,34,6,4,0,2,2,1,8,37,6
33006,33,17,62,77,9,11,5,27,12,3,19,201,33
15006,15,7,53,135,9,6,4,65,8,3,51,113,22
46006,46,7,67,54,8,3,2,17,4,2,8,67,16
58006,58,4,23,26,6,1,0,6,4,2,7,55,9
18006,18,5,16,32,2,5,0,7,1,3,8,50,15
66006,66,5,18,15,6,1,0,7,6,2,0,49,10
