dta,date_actualisation_dta,tous_locaux_visites,presence_amiante,obligation_surveillance,date_derniere_visite,obligation_mesure_taux_empoussierement,obligation_travaux,dta_consultable,lieu_dta_consultable,precision,uairne,type,secteur,code,Nom,Latitude,Longitude
OUI,5/13/2016,OUI,OUI,OUI,5/13/2016,OUI,OUI,OUI,"Collectivité locale de rattachement (Mairie, Conseil départemental, Conseil régional)","La présence d'amiante est localisée dans le plafond du réfectoire sous le faux plafond mais aussi dans les colles des dalles de sol.
Le réfectoire sera désamianté en juillet et aout prochain;  les travaux de préparation du désamiantage commenceront le ",0751791P,CLG,PU,0751791P,COLLEGE CONDORCET <br> 75008 PARIS  8E  ARRONDISSEMENT,48.88097007780733,2.326970478697977
NON,,,,,,,,,,,0755037T,1ORD,PU,0755037T,ECOLE ELEMENTAIRE HENRI NOGUERES <br> 75019 PARIS 19E  ARRONDISSEMENT,48.884695312400964,2.374608395085796
OUI,6/18/2010,OUI,OUI,OUI,10/1/2013,NON,NON,OUI,,,0750920T,1ORD,PU,0750920T,ECOLE ELEMENTAIRE LAUGIER <br> 75017 PARIS 17E  ARRONDISSEMENT,48.88026529465397,2.296823172646413
OUI,6/10/2015,OUI,OUI,OUI,6/10/2016,NON,NON,OUI,,,0750847N,1ORD,PU,0750847N,ECOLE ELEMENTAIRE CHAMPIONNET <br> 75018 PARIS 18E  ARRONDISSEMENT,48.89515476028493,2.3518386403624265
NON,,,,,,,,,,,0751056R,APPL,PU,0751056R,ECOLE ELEMENTAIRE D APPLICATION BOURSAULT <br> 75017 PARIS 17E  ARRONDISSEMENT,48.882953313570155,2.320796262034005
,,,,,,,,,,"Je n'ai pas, en tant que directeur, toutes les informations nécessaires pour compléter ce questionnaire.",0752636H,APPL,PU,0752636H,ECOLE ELEMENTAIRE D APPLICATION BLANCHE H <br> 75009 PARIS  9E  ARRONDISSEMENT,48.877971680901744,2.3317841815297298
OUI,6/26/2010,OUI,OUI,NON,6/26/2016,NON,NON,OUI,,,0750669V,LYC,PU,0750669V,LYCEE D ENSEIGNEMENT GENERAL JULES FERRY <br> 75009 PARIS  9E  ARRONDISSEMENT,48.88406846998265,2.3290877341040805
OUI,10/26/2010,OUI,OUI,NON,6/26/2016,NON,NON,OUI,,,0752533W,CLG,PU,0752533W,COLLEGE JULES FERRY <br> 75009 PARIS  9E  ARRONDISSEMENT,48.88406846998265,2.3290877341040805
OUI,,OUI,OUI,OUI,5/25/2009,NON,OUI,OUI,,,0752620R,1ORD,PU,0752620R,ECOLE MATERNELLE SOUZY <br> 75011 PARIS 11E  ARRONDISSEMENT,48.8516792649624,2.3886285450058082
NON,,,,,,,,,,,0755062V,1ORD,PU,0755062V,ECOLE ELEMENTAIRE PRIMO LEVI <br> 75013 PARIS 13E  ARRONDISSEMENT,48.830459288888775,2.3785911068314256
NON,,,,,,,,,,,0751140G,1ORD,PU,0751140G,ECOLE ELEMENTAIRE LESSEPS EB <br> 75020 PARIS 20E  ARRONDISSEMENT,48.8587138934019,2.400164046939457
OUI,10/22/2009,OUI,OUI,NON,,NON,NON,NON,"Collectivité locale de rattachement (Mairie, Conseil départemental, Conseil régional)",,0752644S,1ORD,PU,0752644S,ECOLE ELEMENTAIRE SORBIER <br> 75020 PARIS 20E  ARRONDISSEMENT,48.86631859268942,2.3922927272163315
OUI,10/6/2009,OUI,OUI,OUI,10/12/2012,OUI,NON,OUI,,Une partie des travaux de désamiantage (réserve préau) sera effectuée cet été.,0751315X,1ORD,PU,0751315X,ECOLE MATERNELLE GUSTAVE ZEDE <br> 75016 PARIS 16E  ARRONDISSEMENT,48.85573592860794,2.272802947544559
NON,,,,,,,,,,,0750846M,1ORD,PU,0750846M,ECOLE ELEMENTAIRE GENERAL CAMOU <br> 75007 PARIS  7E  ARRONDISSEMENT,48.8588894146199,2.299852665252027
OUI,5/10/2001,OUI,OUI,OUI,5/10/2011,NON,NON,OUI,,,0753046D,CLG,PU,0753046D,COLLEGE FLORA TRISTAN <br> 75020 PARIS 20E  ARRONDISSEMENT,48.858977955793584,2.4049587195705024
OUI,9/1/2004,OUI,OUI,NON,,NON,NON,OUI,,,0750203N,1ORD,PR,0750203N,ECOLE ELEMENTAIRE FENELON SAINTE-MARIE <br> 75008 PARIS  8E  ARRONDISSEMENT,48.88063331473722,2.316579014386883
OUI,,OUI,NON,NON,,NON,NON,NON,"Collectivité locale de rattachement (Mairie, Conseil départemental, Conseil régional)",,0751105U,APPL,PU,0751105U,ECOLE ELEMENTAIRE D APPLICATION FERDINAND FLOCON <br> 75018 PARIS 18E  ARRONDISSEMENT,48.89135524648859,2.3457418333347344
NON,,,,,,,,,,,0751214M,1ORD,PU,0751214M,ECOLE ELEMENTAIRE ST JACQUES <br> 75005 PARIS  5E  ARRONDISSEMENT,48.85132696778716,2.3456570566283097
OUI,8/21/2015,OUI,OUI,NON,,NON,NON,OUI,,,0750693W,LYC,PU,0750693W,LYCEE D ENSEIGNEMENT GENERAL BUFFON <br> 75015 PARIS 15E  ARRONDISSEMENT,48.84345775102541,2.3117115221303544
OUI,,OUI,NON,NON,5/31/1999,NON,NON,OUI,,,0751114D,1ORD,PU,0751114D,ECOLE ELEMENTAIRE RAMPAL <br> 75019 PARIS 19E  ARRONDISSEMENT,48.87372282139967,2.3796673825785546
NON,,,,,,,,,,,0751146N,1ORD,PU,0751146N,ECOLE ELEMENTAIRE MADAME <br> 75006 PARIS  6E  ARRONDISSEMENT,48.84893432809741,2.331601895072106
OUI,5/27/2009,,OUI,OUI,5/27/2009,NON,NON,OUI,,,0751054N,1ORD,PU,0751054N,ECOLE ELEMENTAIRE BOULANGERS <br> 75005 PARIS  5E  ARRONDISSEMENT,48.84586093455668,2.3529818028361533
NON,,,,,,,,,,,0754827P,1ORD,PU,0754827P,ECOLE ELEMENTAIRE BALANCHINE <br> 75013 PARIS 13E  ARRONDISSEMENT,48.83648860060665,2.3737535455638064
OUI,10/20/2012,OUI,OUI,OUI,,,,OUI,,,0751271Z,1ORD,PU,0751271Z,ECOLE MATERNELLE C. LAGACHE <br> 75017 PARIS 17E  ARRONDISSEMENT,48.8921472321947,2.3252643726268127
,,,,,,,,NON,"Collectivité locale de rattachement (Mairie, Conseil départemental, Conseil régional)",,0751443L,1ORD,PU,0751443L,ECOLE ELEMENTAIRE FRANCOISE DORLEAC EA <br> 75018 PARIS 18E  ARRONDISSEMENT,48.90030762557295,2.3371734070878967
OUI,11/23/1999,OUI,NON,,,,,,,,0751259L,1ORD,PU,0751259L,ECOLE MATERNELLE LACHAMBAUDIE <br> 75012 PARIS 12E  ARRONDISSEMENT,48.8350756122511,2.3869309628297177
OUI,11/12/2008,OUI,NON,NON,,NON,NON,OUI,,"L'école est scindée en deux bâtiments : le 21 rue Buffon et le 11 rue Buffon.
Le DTA a été réalisé sur les deux bâtiments.",0752263C,1ORD,PU,0752263C,ECOLE ELEMENTAIRE BUFFON C <br> 75005 PARIS  5E  ARRONDISSEMENT,48.84247963365586,2.3612372992479966
OUI,10/4/2010,OUI,OUI,OUI,,NON,OUI,OUI,"Collectivité locale de rattachement (Mairie, Conseil départemental, Conseil régional)",Le DTA précise de procéder à une surveillance régulière de l'état de conservation des matériaux amiantés et de procéder au retrait ou au recouvrement des parties dégradées;,0750700D,LYC,PU,0750700D,LYCEE ENSEIGNT GENERAL ET TECHNOLOGIQUE JEAN-BAPTISTE SAY <br> 75016 PARIS 16E  ARRONDISSEMENT,48.8472424386114,2.2673643823887386
OUI,12/5/2011,OUI,NON,NON,12/5/2011,NON,NON,OUI,,,0751387A,1ORD,PU,0751387A,ECOLE MATERNELLE ROQUETTE <br> 75011 PARIS 11E  ARRONDISSEMENT,48.85806804282932,2.382285302272362
OUI,10/7/1997,OUI,NON,NON,,NON,NON,OUI,,"La maternelle du 12 rue de Monceau est le plus ancien bâtiment de l'école. Elle ne sera plus en service en septembre 2017. L'élémentaire est neuve, en service depuis le mois de novembre 2015.",0751160D,1ORD,PU,0751160D,ECOLE ELEMENTAIRE LOUIS DE FUNES <br> 75008 PARIS  8E  ARRONDISSEMENT,48.87608346587486,2.3060870000901335
OUI,12/12/2011,OUI,OUI,OUI,,,NON,OUI,,,0750857Z,1ORD,PU,0750857Z,ECOLE ELEMENTAIRE CHOMEL <br> 75007 PARIS  7E  ARRONDISSEMENT,48.85217129634183,2.325543528964785
NON,,,,,,,,,,,0751336V,1ORD,PU,0751336V,ECOLE MATERNELLE MANIN <br> 75019 PARIS 19E  ARRONDISSEMENT,48.88349562458981,2.3894209261905592
OUI,8/31/2012,OUI,NON,NON,,,NON,OUI,,,0752937K,LYC,PR,0752937K,LYCEE D ENSEIGNEMENT GENERAL ECOLE  INTERNATIONAL BILINGUE <br> 75017 PARIS 17E  ARRONDISSEMENT,48.877035830708316,2.2899771372849034
OUI,4/8/2012,OUI,OUI,OUI,,NON,OUI,OUI,Autres,L'école sera en complète démolition à partir du 11 juillet 2016.,0752766Z,1ORD,PU,0752766Z,ECOLE MATERNELLE FESSART Z <br> 75019 PARIS 19E  ARRONDISSEMENT,48.876857854112785,2.3843626024400217
OUI,,OUI,NON,NON,,NON,NON,OUI,,,0751383W,1ORD,PU,0751383W,ECOLE MATERNELLE RODIER <br> 75009 PARIS  9E  ARRONDISSEMENT,48.87869566636692,2.3429993197020846
OUI,7/18/2006,OUI,OUI,OUI,7/2/2012,NON,OUI,OUI,,"DTA placé à la loge pour consultation, dans le registre de sécurité.",0750842H,1ORD,PU,0750842H,ECOLE ELEMENTAIRE BRETONNEAU <br> 75020 PARIS 20E  ARRONDISSEMENT,48.86772063769742,2.403190277873461
,,,,,,,,,,"Bonjour,
J'ai été nommée récemment dans l'école.
Je ne peux malheureusement pas répondre à toutes ces questions
n'ayant rien trouvé dans les archives sur ce sujet.
Je sais juste que dans le logement de fonction de l'amiante a été retirée en avril ",0751127T,1ORD,PU,0751127T,ECOLE ELEMENTAIRE JOMARD <br> 75019 PARIS 19E  ARRONDISSEMENT,48.88970970817935,2.3795764779951605
OUI,8/5/2005,OUI,OUI,OUI,8/5/2005,NON,NON,OUI,,Désamiantage réalisé durant l'été 2007,0751102R,1ORD,PU,0751102R,ECOLE ELEMENTAIRE FAUBOURG ST DENIS <br> 75010 PARIS 10E  ARRONDISSEMENT,48.87110309473845,2.3535026050419963
OUI,5/14/2009,OUI,OUI,OUI,,NON,NON,OUI,Autres,"Le DTA est dans le registre de sécurité
consultable  à la loge de l'école.",0751234J,1ORD,PU,0751234J,ECOLE ELEMENTAIRE VICQ D'AZIR <br> 75010 PARIS 10E  ARRONDISSEMENT,48.87606922965677,2.3705453077024674
NON,,,,,,,,,,,0755103P,1ORD,PU,0755103P,ECOLE ELEMENTAIRE PAJOL <br> 75018 PARIS 18E  ARRONDISSEMENT,48.88550077908543,2.3605841258755738
OUI,7/18/2012,OUI,OUI,OUI,,NON,OUI,OUI,"Collectivité locale de rattachement (Mairie, Conseil départemental, Conseil régional)",il s'agit de la toiture d'une annexe en fibrociment signalée comme dégradée et il est préconisé soit un recouvrement soit le retrait,0751301G,1ORD,PU,0751301G,ECOLE MATERNELLE EUGENE REISZ G <br> 75020 PARIS 20E  ARRONDISSEMENT,48.85642966792472,2.410684824230429
OUI,9/1/2004,OUI,OUI,NON,,NON,NON,OUI,,,0750229S,1ORD,PR,0750229S,ECOLE ELEMENTAIRE FENELON SAINTE-MARIE <br> 75008 PARIS  8E  ARRONDISSEMENT,48.876697773233595,2.320362452092509
OUI,9/24/2009,OUI,OUI,NON,,NON,NON,OUI,,,0751295A,1ORD,PU,0751295A,ECOLE MATERNELLE BOULARD <br> 75014 PARIS 14E  ARRONDISSEMENT,48.833722807498845,2.328933314135366
OUI,12/7/2011,OUI,OUI,NON,,NON,NON,OUI,,,0751157A,APPL,PU,0751157A,ECOLE ELEMENTAIRE D APPLICATION MILTON A <br> 75009 PARIS  9E  ARRONDISSEMENT,48.87867931598242,2.341169694919369
OUI,11/22/2011,OUI,OUI,NON,,NON,NON,OUI,,,0750961M,1ORD,PU,0750961M,ECOLE ELEMENTAIRE PIERRE BROSSOLETTE <br> 75005 PARIS  5E  ARRONDISSEMENT,48.8419707637498,2.3476030642682106
OUI,,OUI,OUI,,,,,NON,"Collectivité locale de rattachement (Mairie, Conseil départemental, Conseil régional)",amiante dans la colle des sols plastiques,0750811Z,1ORD,PU,0750811Z,ECOLE ELEMENTAIRE ALEXANDRE DUMAS <br> 75011 PARIS 11E  ARRONDISSEMENT,48.853745174804715,2.3932420882631966
OUI,12/18/2016,OUI,NON,,,NON,NON,OUI,,,0751663A,1ORD,PU,0751663A,ECOLE MATERNELLE SARRETTE A <br> 75014 PARIS 14E  ARRONDISSEMENT,48.82505025569992,2.3268751010422783
OUI,12/17/2009,OUI,OUI,OUI,11/21/2011,NON,NON,OUI,,,0750672Y,LYC,PU,0750672Y,LYCEE D ENSEIGNEMENT TECHNOLOGIQUE DUPERRE ESAA <br> 75003 PARIS  3E  ARRONDISSEMENT,48.86511160871878,2.362036688344763
OUI,1/28/2009,OUI,OUI,NON,,NON,NON,OUI,,"Présence d'amiante non friable détectée dans différents locaux (toiture plonge, courette arrière appartement, dalles sol appartement, 3 conduits en fibrociment)",0750670W,LYC,PU,0750670W,LYCEE D ENSEIGNEMENT GENERAL LAMARTINE <br> 75009 PARIS  9E  ARRONDISSEMENT,48.87836919707532,2.3490887465768537
OUI,4/9/2010,OUI,OUI,OUI,3/26/2010,NON,OUI,OUI,,,0750609E,CLG,PU,0750609E,COLLEGE PAUL VERLAINE <br> 75012 PARIS 12E  ARRONDISSEMENT,48.842640190299775,2.3752915409584467
NON,,,,,,,,,,,0751414E,1ORD,PU,0751414E,ECOLE MATERNELLE TRAVERSIERE <br> 75012 PARIS 12E  ARRONDISSEMENT,48.847616393274706,2.3732382682216917
OUI,7/24/2016,OUI,NON,NON,,NON,NON,OUI,,,0751360W,1ORD,PU,0751360W,ECOLE MATERNELLE PALESTINE <br> 75019 PARIS 19E  ARRONDISSEMENT,48.87639560483288,2.3894564410821846
OUI,9/28/2006,OUI,NON,NON,,NON,NON,OUI,,,0751112B,1ORD,PU,0751112B,ECOLE ELEMENTAIRE GENERAL BRUNET <br> 75019 PARIS 19E  ARRONDISSEMENT,48.88026229132531,2.39025378120608
OUI,8/18/2012,OUI,NON,NON,,NON,NON,OUI,,,0751415F,1ORD,PU,0751415F,ECOLE MATERNELLE TROIS BORNES F <br> 75011 PARIS 11E  ARRONDISSEMENT,48.86734437349598,2.3745890467996307
OUI,12/7/2011,NON,NON,NON,,NON,NON,OUI,,,0752632D,1ORD,PU,0752632D,ECOLE ELEMENTAIRE JUSSIENNE <br> 75002 PARIS  2E  ARRONDISSEMENT,48.86529248056403,2.3440871282122635
OUI,12/31/2011,OUI,NON,NON,,NON,NON,OUI,,,0751376N,1ORD,PU,0751376N,ECOLE MATERNELLE POULLETIER <br> 75004 PARIS  4E  ARRONDISSEMENT,48.85125070076472,2.3581425460044665
OUI,6/4/2007,OUI,NON,,,,,,Autres,"A la loge de l'école, dans le classeur de sécurité",0753198U,1ORD,PU,0753198U,ECOLE ELEMENTAIRE DAVOUT <br> 75020 PARIS 20E  ARRONDISSEMENT,48.852124689382016,2.4107253343238857
OUI,9/28/2009,OUI,OUI,OUI,9/17/2012,NON,NON,OUI,,,0752832W,1ORD,PU,0752832W,ECOLE MATERNELLE EMERIAU W <br> 75015 PARIS 15E  ARRONDISSEMENT,48.85133682067738,2.287849735183492
OUI,9/28/2009,OUI,OUI,OUI,9/17/2012,NON,,OUI,,,0751203A,1ORD,PU,0751203A,ECOLE ELEMENTAIRE EMERIAU <br> 75015 PARIS 15E  ARRONDISSEMENT,48.851686670375365,2.288302858800432
OUI,11/26/2007,OUI,NON,NON,,NON,NON,OUI,,"Nous avons dans le registre de sécurité de l'école la version du DTA datant de 2007. Le DTA initial doit être consultable au niveau du service d'architecture de la mairie du 20ème et au service ""Bâtiments"" de la Direction des Affaires scolaires de la Vill",0751377P,1ORD,PU,0751377P,ECOLE MATERNELLE PYRENEES P <br> 75020 PARIS 20E  ARRONDISSEMENT,48.85515790832503,2.405214954909963
OUI,5/22/2007,OUI,OUI,NON,,NON,OUI,OUI,,,0751089B,1ORD,PU,0751089B,ECOLE ELEMENTAIRE WURTZ <br> 75013 PARIS 13E  ARRONDISSEMENT,48.8269241473359,2.3446120821091254
NON,,,,,,,,,,,0753278F,1ORD,PU,0753278F,ECOLE MATERNELLE HOPITAL ST LOUIS F <br> 75010 PARIS 10E  ARRONDISSEMENT,48.87558893870797,2.364239813323035
OUI,11/27/2013,NON,OUI,NON,,NON,OUI,OUI,,"Il n'y a pas d'obligation de surveillance mais une surveillance régulière est conseillée et non encore effectuée.
Des travaux préconisés pour l'entourage des poteaux en fibrociment ont été réalisés.",0752606A,CLG,PU,0752606A,COLLEGE GEORGES MELIES <br> 75019 PARIS 19E  ARRONDISSEMENT,48.88805435292578,2.3705013440344267
NON,,,,,,,,,,,0755215L,1ORD,PU,0755215L,ECOLE MATERNELLE ROCHECHOUART L <br> 75009 PARIS  9E  ARRONDISSEMENT,48.88137825642375,2.346592601397071
OUI,6/2/2009,OUI,OUI,,,,,OUI,"Collectivité locale de rattachement (Mairie, Conseil départemental, Conseil régional)",,0753747R,1ORD,PU,0753747R,ECOLE MATERNELLE ARMAND ROUSSEAU <br> 75012 PARIS 12E  ARRONDISSEMENT,48.83647232334774,2.4092714976858742
OUI,7/2/2012,NON,OUI,OUI,7/2/2012,NON,NON,OUI,,"En cas de dégradation des parties amiantées, il est préconisé de procéder au retrait ou au recouvrement de ces parties.",0751116F,1ORD,PU,0751116F,ECOLE ELEMENTAIRE GUSTAVE ROUANET <br> 75018 PARIS 18E  ARRONDISSEMENT,48.89631698242299,2.3400380902661
OUI,10/6/2005,OUI,NON,NON,,NON,NON,OUI,,,0751237M,1ORD,PU,0751237M,ECOLE ELEMENTAIRE SURENE <br> 75008 PARIS  8E  ARRONDISSEMENT,48.871062737822506,2.3205614021687806
OUI,10/28/2008,OUI,OUI,OUI,,NON,NON,OUI,,,0754244F,1ORD,PU,0754244F,ECOLE MATERNELLE JOSEPH DE MAISTRE <br> 75018 PARIS 18E  ARRONDISSEMENT,48.89328809411417,2.330323277467996
OUI,11/27/2006,OUI,NON,NON,,NON,NON,OUI,,,0754828R,1ORD,PU,0754828R,ECOLE ELEMENTAIRE EMILE BOLLAERT <br> 75019 PARIS 19E  ARRONDISSEMENT,48.899725812984975,2.374984365988153
NON,,,,,,,,,,,0752573P,1ORD,PU,0752573P,ECOLE MATERNELLE TANDOU P <br> 75019 PARIS 19E  ARRONDISSEMENT,48.886463117566606,2.380612031346609
NON,,,,,,,,,,,0750463W,LYC,PU,0750463W,LYCEE POLYVALENT LUCAS DE NEHOU <br> 75014 PARIS 14E  ARRONDISSEMENT,48.82522623758808,2.3241118219948964
OUI,11/8/2007,OUI,OUI,,,NON,NON,OUI,,"présence d'amiante non friable dans un conduit en fibro-ciment dont l'état de conservation a été jugé bon en 2008.
Pas de rapport de contrôle plus récent à l'école.",0752079C,1ORD,PU,0752079C,ECOLE ELEMENTAIRE PHILIPPE DE GIRARD <br> 75018 PARIS 18E  ARRONDISSEMENT,48.88637347891582,2.3611557135161294
,,,,,,,,,,Ecole livrée en 2011,0755591V,1ORD,PU,0755591V,ECOLE ELEMENTAIRE CLAUDE BERNARD <br> 75019 PARIS 19E  ARRONDISSEMENT,48.899080654031884,2.3813253482397605
OUI,10/29/2008,NON,OUI,NON,,NON,NON,OUI,,,0751793S,CLG,PU,0751793S,COLLEGE MAURICE UTRILLO <br> 75018 PARIS 18E  ARRONDISSEMENT,48.89850972237922,2.344331539254156
OUI,4/2/2014,OUI,NON,NON,,NON,NON,NON,,"Désamiantage terminé à priori en juillet août 2015 sur une toute petite surface de l'école maternelle conjointement avec un désamiantage général réalisé avec l'école élémentaire voisine.

Dossier à consulter auprès de la CASPE 7/15 100 Avenue de Suffr",0751388B,1ORD,PU,0751388B,ECOLE MATERNELLE MADEMOISELLE B <br> 75015 PARIS 15E  ARRONDISSEMENT,48.84336114702171,2.3004836790561707
OUI,2/16/2007,OUI,NON,NON,,NON,NON,OUI,,,0754305X,CLG,PU,0754305X,COLLEGE ANDRE CITROEN <br> 75015 PARIS 15E  ARRONDISSEMENT,48.83884843482284,2.278581124564096
NON,,,,,,,,,,,0753268V,LYC,PU,0753268V,LYCEE POLYVALENT JEAN LURCAT <br> 75013 PARIS 13E  ARRONDISSEMENT,48.83426082546328,2.3532947196465885
OUI,3/1/2005,OUI,NON,NON,3/10/2014,NON,NON,OUI,,,0750182R,CLG,PR,0750182R,COLLEGE SAINT-LOUIS <br> 75018 PARIS 18E  ARRONDISSEMENT,48.89420291144671,2.339753915047459
OUI,2/16/2006,OUI,NON,NON,,NON,NON,OUI,,,0753919C,LYC,PR,0753919C,LYCEE D ENSEIGNEMENT GENERAL PASCAL <br> 75016 PARIS 16E  ARRONDISSEMENT,48.86704896103626,2.272218333768603
OUI,6/16/2016,OUI,NON,NON,,NON,NON,OUI,,,0752919R,CLG,PR,0752919R,COLLEGE PASCAL <br> 75016 PARIS 16E  ARRONDISSEMENT,48.86704896103626,2.272218333768603
NON,,,,,,,,,,,0750707L,LYC,PU,0750707L,LYCEE D ENSEIGNEMENT TECHNOLOGIQUE ECOLE NATIONALE DE COMMERCE <br> 75017 PARIS 17E  ARRONDISSEMENT,48.89705476616289,2.3203217602659314
OUI,,OUI,OUI,NON,,NON,NON,OUI,"Collectivité locale de rattachement (Mairie, Conseil départemental, Conseil régional)",,0750648X,LYC,PU,0750648X,LYCEE D ENSEIGNEMENT GENERAL VICTOR HUGO <br> 75003 PARIS  3E  ARRONDISSEMENT,48.85750374093399,2.3631629610031424
OUI,2/16/2006,OUI,NON,NON,,NON,NON,OUI,,,0750292K,1ORD,PR,0750292K,ECOLE ELEMENTAIRE PASCAL <br> 75016 PARIS 16E  ARRONDISSEMENT,48.86704896103626,2.272218333768603
OUI,4/16/2015,OUI,NON,NON,,NON,NON,OUI,,,0752821J,CLG,PR,0752821J,COLLEGE E. INTER. BILINGU SECT MONCEAU <br> 75017 PARIS 17E  ARRONDISSEMENT,48.88080011942091,2.3006135004649373
OUI,11/14/2011,OUI,NON,NON,,NON,NON,OUI,,Le rapport cite la présence de conduits en fibro-ciment dans la chaufferie située en sous-sol.,0752211W,1ORD,PU,0752211W,ECOLE MATERNELLE PARADIS <br> 75010 PARIS 10E  ARRONDISSEMENT,48.87481629869647,2.3536392115905334
OUI,2/3/2014,OUI,OUI,OUI,1/13/2014,NON,NON,OUI,,,0751710B,LP,PU,0751710B,LYCEE PROFESSIONNEL NICOLAS LOUIS VAUQUELIN <br> 75013 PARIS 13E  ARRONDISSEMENT,48.822378170488975,2.3762970516422235
NON,,,,,,,,,,,0755102N,1ORD,PU,0755102N,ECOLE ELEMENTAIRE SIMPLON <br> 75018 PARIS 18E  ARRONDISSEMENT,48.89365902781325,2.351310336543025
,,,,,,,,NON,"Collectivité locale de rattachement (Mairie, Conseil départemental, Conseil régional)",,0750946W,APPL,PU,0750946W,ECOLE ELEMENTAIRE D APPLICATION MUSSET <br> 75016 PARIS 16E  ARRONDISSEMENT,48.84238146801424,2.2634294763627407
OUI,9/17/2004,OUI,,NON,,,,,,,0754016H,LYC,PR,0754016H,LYCEE POLYVALENT L'INITIATIVE <br> 75019 PARIS 19E  ARRONDISSEMENT,48.88148104667878,2.374595178840724
