LibSubCom,code_commune,longitude,latitude,Inscrits,Abstentions,Votants,Blancs,Nuls,Exprimes,entete,nb_voix,url_libe
Antony,92002,2.2957,48.7487,41849,12544,29305,904,588,27813,MACRON,8346,https://www.liberation.fr/resultats-elections/ile-de-france/hauts-de-seine/antony-92002/
Caen,14118,-0.3719,49.1798,54948,16693,38255,998,737,36520,MACRON,8524,https://www.liberation.fr/resultats-elections/normandie/calvados/caen-14118/
Limoges,87085,1.2531,45.8597,74256,22419,51837,1561,1018,49258,MACRON,12235,https://www.liberation.fr/resultats-elections/nouvelle-aquitaine/haute-vienne/limoges-87085/
Dunkerque,59183,2.3386,51.0346,61096,18312,42784,1353,858,40573,MÉLENCHON,10762,https://www.liberation.fr/resultats-elections/hauts-de-france/nord/dunkerque-59183/
Calais,62193,1.8749,50.9596,51197,15108,36089,1070,718,34301,MÉLENCHON,11196,https://www.liberation.fr/resultats-elections/hauts-de-france/pas-de-calais/calais-62193/
Fréjus,83061,6.774,43.465,37505,11309,26196,717,559,24920,MÉLENCHON,7411,https://www.liberation.fr/resultats-elections/provence-alpes-cote-d-azur/var/frejus-83061/
Cannes,06029,7.0191,43.5384,48944,14773,34171,1054,659,32458,MÉLENCHON,8654,https://www.liberation.fr/resultats-elections/provence-alpes-cote-d-azur/alpes-maritimes/cannes-06029/
Tours,37261,0.6947,47.3952,80343,23814,56529,1710,1122,53697,MACRON,12387,https://www.liberation.fr/resultats-elections/centre-val-de-loire/indre-et-loire/tours-37261/
Antibes,06004,7.1178,43.5734,52352,15663,36689,1149,759,34781,MÉLENCHON,9303,https://www.liberation.fr/resultats-elections/provence-alpes-cote-d-azur/alpes-maritimes/antibes-06004/
Maisons-Alfort,94046,2.4389,48.8082,36331,11029,25302,851,495,23956,MACRON,6271,https://www.liberation.fr/resultats-elections/ile-de-france/val-de-marne/maisons-alfort-94046/
Pessac,33318,-0.6499,44.8012,42593,12768,29825,875,589,28361,MACRON,6840,https://www.liberation.fr/resultats-elections/nouvelle-aquitaine/gironde/pessac-33318/
Lyon 6eme arrondissement,69123AR06,4.85207911437,45.7728507239,29535,9008,20527,669,412,19446,MACRON,4859,https://www.liberation.fr/resultats-elections/auvergne-rhone-alpes/rhone/lyon-69123/
Saint-Quentin,02691,3.2889,49.8457,33904,10207,23697,665,506,22526,MÉLENCHON,7684,https://www.liberation.fr/resultats-elections/hauts-de-france/aisne/saint-quentin-02691/
Lyon 3eme arrondissement,69123AR03,4.86918522013,45.7533552486,51387,15412,35975,1088,712,34175,MACRON,8503,https://www.liberation.fr/resultats-elections/auvergne-rhone-alpes/rhone/lyon-69123/
Rouen,76540,1.0984,49.4432,56960,17218,39742,1252,774,37716,MÉLENCHON,8918,https://www.liberation.fr/resultats-elections/normandie/seine-maritime/rouen-76540/
Marseille 9eme arrondissement,13055AR09,5.45249683067,43.2340834927,48778,14643,34135,1030,694,32411,MÉLENCHON,8471,https://www.liberation.fr/resultats-elections/provence-alpes-cote-d-azur/bouches-du-rhone/marseille-13055/
Marseille 13eme arrondissement,13055AR13,5.43372238738,43.3492780005,53744,16115,37629,1148,721,35760,MÉLENCHON,9326,https://www.liberation.fr/resultats-elections/provence-alpes-cote-d-azur/bouches-du-rhone/marseille-13055/
Marcq-en-Baroeul,59378,3.1041,50.6773,29269,8855,20414,613,382,19419,MÉLENCHON,5109,https://www.liberation.fr/resultats-elections/hauts-de-france/nord/marcq-en-baroeul-59378/
Béziers,34032,3.2358,43.3596,46030,13858,32172,927,619,30626,MÉLENCHON,7450,https://www.liberation.fr/resultats-elections/occitanie/herault/beziers-34032/
Clamart,92023,2.2535,48.7978,35856,10587,25269,805,516,23948,MACRON,7263,https://www.liberation.fr/resultats-elections/ile-de-france/hauts-de-seine/clamart-92023/
Colombes,92025,2.2506,48.9226,48534,14356,34178,927,713,32538,MACRON,9820,https://www.liberation.fr/resultats-elections/ile-de-france/hauts-de-seine/colombes-92025/
Orléans,45234,1.9172,47.8828,62952,18894,44058,1329,832,41897,MACRON,9320,https://www.liberation.fr/resultats-elections/centre-val-de-loire/loiret/orleans-45234/
Montreuil,93048,2.4501,48.8635,58883,17652,41231,1171,814,39246,PÉCRESSE,11995,https://www.liberation.fr/resultats-elections/ile-de-france/seine-st-denis/montreuil-93048/
Avignon,84007,4.8465,43.946,55502,16589,38913,1149,754,37010,MÉLENCHON,10782,https://www.liberation.fr/resultats-elections/provence-alpes-cote-d-azur/vaucluse/avignon-84007/
Saint-Germain-en-Laye,78551,2.0864,48.9194,29091,8680,20411,686,476,19249,MACRON,5149,https://www.liberation.fr/resultats-elections/ile-de-france/yvelines/saint-germain-en-laye-78551/
Metz,57463,6.1906,49.1115,69416,21103,48313,1449,972,45892,MÉLENCHON,12382,https://www.liberation.fr/resultats-elections/grand-est/moselle/metz-57463/
Brest,29019,-4.5058,48.4059,84574,25563,59011,1744,1214,56053,MACRON,14832,https://www.liberation.fr/resultats-elections/bretagne/finistere/brest-29019/
Mérignac,33281,-0.6601,44.8303,45646,13653,31993,975,667,30351,MACRON,7423,https://www.liberation.fr/resultats-elections/nouvelle-aquitaine/gironde/merignac-33281/
Paris 10eme arrondissement,75056AR10,2.36111290456,48.8760285569,54937,16626,38311,1114,721,36476,MACRON,11498,https://www.liberation.fr/resultats-elections/ile-de-france/paris/paris-75056/
Montauban,82121,1.3736,44.022,40714,12131,28583,801,608,27174,MÉLENCHON,6861,https://www.liberation.fr/resultats-elections/occitanie/tarn-et-garonne/montauban-82121/
Le Chesnay-Rocquencourt,78158,2.1206,48.8309,23022,6832,16190,456,354,15380,MACRON,4179,https://www.liberation.fr/resultats-elections/ile-de-france/yvelines/le-chesnay-rocquencourt-78158/
Marseille 12eme arrondissement,13055AR12,5.43991567678,43.3077683678,42694,12868,29826,901,631,28294,MÉLENCHON,7353,https://www.liberation.fr/resultats-elections/provence-alpes-cote-d-azur/bouches-du-rhone/marseille-13055/
Paris 9eme arrondissement,75056AR09,2.33746024139,48.8768961624,39034,11725,27309,855,535,25919,MACRON,8230,https://www.liberation.fr/resultats-elections/ile-de-france/paris/paris-75056/
Paris 5eme arrondissement,75056AR05,2.34985938556,48.8445086596,36666,11338,25328,757,524,24047,MACRON,7619,https://www.liberation.fr/resultats-elections/ile-de-france/paris/paris-75056/
Laval,53130,-0.767,48.0662,30372,9144,21228,600,444,20184,LE PEN,5097,https://www.liberation.fr/resultats-elections/pays-de-la-loire/mayenne/laval-53130/
Villeurbanne,69266,4.8902,45.7707,84292,25224,59068,1802,1200,56066,MACRON,14043,https://www.liberation.fr/resultats-elections/auvergne-rhone-alpes/rhone/villeurbanne-69266/
Meudon,92048,2.2293,48.8085,29876,8843,21033,602,417,20014,MACRON,6051,https://www.liberation.fr/resultats-elections/ile-de-france/hauts-de-seine/meudon-92048/
Nancy,54395,6.1709,48.6889,52397,15626,36771,1064,740,34967,MÉLENCHON,8478,https://www.liberation.fr/resultats-elections/grand-est/meurthe-et-moselle/nancy-54395/
Hyères,83069,6.2545,43.0351,39989,11927,28062,905,564,26593,MÉLENCHON,7889,https://www.liberation.fr/resultats-elections/provence-alpes-cote-d-azur/var/hyeres-83069/
Vincennes,94080,2.4391,48.8485,31901,9397,22504,681,435,21388,MACRON,5650,https://www.liberation.fr/resultats-elections/ile-de-france/val-de-marne/vincennes-94080/
Saint-Raphaël,83118,6.8646,43.4421,30487,9076,21411,709,434,20268,MÉLENCHON,5974,https://www.liberation.fr/resultats-elections/provence-alpes-cote-d-azur/var/saint-raphael-83118/
Les Sables-d'Olonne,85194,-1.7633,46.5317,40241,12054,28187,830,527,26830,MACRON,6785,https://www.liberation.fr/resultats-elections/pays-de-la-loire/vendee/les-sables-d-olonne-85194/
Albi,81004,2.1448,43.9173,33362,9804,23558,754,477,22327,MÉLENCHON,4699,https://www.liberation.fr/resultats-elections/occitanie/tarn/albi-81004/
Cherbourg-en-Cotentin,50129,-1.6439,49.6387,56147,16844,39303,1219,750,37334,MACRON,8727,https://www.liberation.fr/resultats-elections/normandie/manche/cherbourg-en-cotentin-50129/
Paris 8eme arrondissement,75056AR08,2.31258256042,48.8725272666,24515,7294,17221,514,349,16358,MACRON,5138,https://www.liberation.fr/resultats-elections/ile-de-france/paris/paris-75056/
Valence,26362,4.9151,44.926,39458,12096,27362,804,521,26037,MÉLENCHON,5891,https://www.liberation.fr/resultats-elections/auvergne-rhone-alpes/drome/valence-26362/
Cagnes-sur-Mer,06027,7.1533,43.67,33593,10034,23559,683,454,22422,LE PEN,5951,https://www.liberation.fr/resultats-elections/provence-alpes-cote-d-azur/alpes-maritimes/cagnes-sur-mer-06027/
Paris 6eme arrondissement,75056AR06,2.33267089859,48.8489680919,25914,7867,18047,523,383,17141,MACRON,5441,https://www.liberation.fr/resultats-elections/ile-de-france/paris/paris-75056/
La Seyne-sur-Mer,83126,5.8824,43.0805,44110,13425,30685,820,629,29236,MÉLENCHON,8685,https://www.liberation.fr/resultats-elections/provence-alpes-cote-d-azur/var/la-seyne-sur-mer-83126/
Suresnes,92073,2.2168,48.8694,29136,8749,20387,643,428,19316,MACRON,5762,https://www.liberation.fr/resultats-elections/ile-de-france/hauts-de-seine/suresnes-92073/
Pau,64445,-0.3462,43.3197,45882,13825,32057,934,645,30478,MACRON,7412,https://www.liberation.fr/resultats-elections/nouvelle-aquitaine/pyrenees-atlantiques/pau-64445/
Villeneuve-d'Ascq,59009,3.1574,50.6382,39539,11823,27716,790,546,26380,MÉLENCHON,7104,https://www.liberation.fr/resultats-elections/hauts-de-france/nord/villeneuve-d-ascq-59009/
Colmar,68066,7.3936,48.1203,41848,12680,29168,844,568,27756,MÉLENCHON,7254,https://www.liberation.fr/resultats-elections/grand-est/haut-rhin/colmar-68066/
Tourcoing,59599,3.1585,50.7253,62230,18596,43634,1299,908,41427,MÉLENCHON,11136,https://www.liberation.fr/resultats-elections/hauts-de-france/nord/tourcoing-59599/
Bastia,2B033,9.4372,42.6927,21906,6507,15399,390,310,14699,MÉLENCHON,3950,https://www.liberation.fr/resultats-elections/corse/haute-corse/bastia-2B033/
Aulnay-sous-Bois,93005,2.4948,48.9417,44780,13239,31541,1005,624,29912,PÉCRESSE,9057,https://www.liberation.fr/resultats-elections/ile-de-france/seine-st-denis/aulnay-sous-bois-93005/
Salon-de-Provence,13103,5.1075,43.6423,32200,9672,22528,710,449,21369,MÉLENCHON,5538,https://www.liberation.fr/resultats-elections/provence-alpes-cote-d-azur/bouches-du-rhone/salon-de-provence-13103/
Champigny-sur-Marne,94017,2.5222,48.8168,43157,12894,30263,866,583,28814,MACRON,7582,https://www.liberation.fr/resultats-elections/ile-de-france/val-de-marne/champigny-sur-marne-94017/
Narbonne,11262,3.0419,43.1647,38801,11476,27325,813,552,25960,MÉLENCHON,6859,https://www.liberation.fr/resultats-elections/occitanie/aude/narbonne-11262/
Dieppe,76217,1.0827,49.9225,21231,6217,15014,472,314,14228,MÉLENCHON,3302,https://www.liberation.fr/resultats-elections/normandie/seine-maritime/dieppe-76217/
Cholet,49099,-0.8833,47.0325,37144,11073,26071,848,529,24694,MACRON,6182,https://www.liberation.fr/resultats-elections/pays-de-la-loire/maine-et-loire/cholet-49099/
Saint-Cloud,92064,2.2082,48.8447,19160,5711,13449,360,299,12790,MACRON,3823,https://www.liberation.fr/resultats-elections/ile-de-france/hauts-de-seine/saint-cloud-92064/
Caluire-et-Cuire,69034,4.8532,45.7988,29827,8905,20922,634,422,19866,MACRON,4927,https://www.liberation.fr/resultats-elections/auvergne-rhone-alpes/rhone/caluire-et-cuire-69034/
Lyon 7eme arrondissement,69123AR07,4.83758495703,45.7334098415,35797,10920,24877,754,447,23676,MACRON,5926,https://www.liberation.fr/resultats-elections/auvergne-rhone-alpes/rhone/lyon-69123/
Six-Fours-les-Plages,83129,5.8031,43.0777,30558,9382,21176,557,379,20240,MÉLENCHON,5970,https://www.liberation.fr/resultats-elections/provence-alpes-cote-d-azur/var/six-fours-les-plages-83129/
Marseille 11eme arrondissement,13055AR11,5.48381466229,43.2884471881,38587,11552,27035,831,570,25634,MÉLENCHON,6735,https://www.liberation.fr/resultats-elections/provence-alpes-cote-d-azur/bouches-du-rhone/marseille-13055/
Taverny,95607,2.2245,49.0308,17962,5395,12567,406,263,11898,MACRON,2788,https://www.liberation.fr/resultats-elections/ile-de-france/val-d-oise/taverny-95607/
Lyon 5eme arrondissement,69123AR05,4.8022536949,45.7558317849,28488,8425,20063,639,410,19014,MACRON,4770,https://www.liberation.fr/resultats-elections/auvergne-rhone-alpes/rhone/lyon-69123/
La Rochelle,17300,-1.171,46.1592,52585,15435,37150,1165,722,35263,MACRON,7998,https://www.liberation.fr/resultats-elections/nouvelle-aquitaine/charente-maritime/la-rochelle-17300/
Martigues,13056,5.0365,43.367,35537,10727,24810,739,520,23551,MÉLENCHON,6053,https://www.liberation.fr/resultats-elections/provence-alpes-cote-d-azur/bouches-du-rhone/martigues-13056/
Istres,13047,4.9842,43.519,30027,8964,21063,553,439,20071,MÉLENCHON,5203,https://www.liberation.fr/resultats-elections/provence-alpes-cote-d-azur/bouches-du-rhone/istres-13047/
Arles,13004,4.6489,43.5272,36979,11294,25685,662,604,24419,MÉLENCHON,6329,https://www.liberation.fr/resultats-elections/provence-alpes-cote-d-azur/bouches-du-rhone/arles-13004/
Hénin-Beaumont,62427,2.9566,50.421,17948,5332,12616,410,264,11942,MÉLENCHON,3922,https://www.liberation.fr/resultats-elections/hauts-de-france/pas-de-calais/henin-beaumont-62427/
Sète,34301,3.6624,43.3856,33340,10043,23297,771,452,22074,MÉLENCHON,5389,https://www.liberation.fr/resultats-elections/occitanie/herault/sete-34301/
Saint-Nazaire,44184,-2.2463,47.2747,50531,15325,35206,1029,714,33463,MACRON,8763,https://www.liberation.fr/resultats-elections/pays-de-la-loire/loire-atlantique/saint-nazaire-44184/
Mulhouse,68224,7.3289,47.7491,49028,14559,34469,1010,680,32779,MÉLENCHON,8429,https://www.liberation.fr/resultats-elections/grand-est/haut-rhin/mulhouse-68224/
Colomiers,31149,1.3188,43.6143,22953,6902,16051,454,343,15254,MACRON,3651,https://www.liberation.fr/resultats-elections/occitanie/haute-garonne/colomiers-31149/
Bourges,18033,2.3987,47.0827,43525,13401,30124,878,619,28627,MÉLENCHON,6534,https://www.liberation.fr/resultats-elections/centre-val-de-loire/cher/bourges-18033/
Draguignan,83050,6.4467,43.5402,25051,7417,17634,532,324,16778,MÉLENCHON,4886,https://www.liberation.fr/resultats-elections/provence-alpes-cote-d-azur/var/draguignan-83050/
Chatou,78146,2.1511,48.8983,20467,5979,14488,443,296,13749,MACRON,3658,https://www.liberation.fr/resultats-elections/ile-de-france/yvelines/chatou-78146/
Quimper,29232,-4.0916,47.9914,42648,12645,30003,871,566,28566,MACRON,7514,https://www.liberation.fr/resultats-elections/bretagne/finistere/quimper-29232/
Beauvais,60057,2.0851,49.4393,34305,10186,24119,749,522,22848,MÉLENCHON,6736,https://www.liberation.fr/resultats-elections/hauts-de-france/oise/beauvais-60057/
Le Plessis-Robinson,92060,2.2623,48.78,19535,5852,13683,429,260,12994,MACRON,3960,https://www.liberation.fr/resultats-elections/ile-de-france/hauts-de-seine/le-plessis-robinson-92060/
Marseille 7eme arrondissement,13055AR07,5.36323440435,43.28251778,24762,7650,17112,569,327,16216,MÉLENCHON,4232,https://www.liberation.fr/resultats-elections/provence-alpes-cote-d-azur/bouches-du-rhone/marseille-13055/
Castres,81065,2.2405,43.6145,29912,9023,20889,590,424,19875,MÉLENCHON,4140,https://www.liberation.fr/resultats-elections/occitanie/tarn/castres-81065/
La Garenne-Colombes,92035,2.2469,48.9071,19638,5704,13934,480,241,13213,MACRON,3943,https://www.liberation.fr/resultats-elections/ile-de-france/hauts-de-seine/la-garenne-colombes-92035/
Montigny-le-Bretonneux,78423,2.0287,48.775,23445,7080,16365,543,322,15500,MACRON,4173,https://www.liberation.fr/resultats-elections/ile-de-france/yvelines/montigny-le-bretonneux-78423/
La Roche-sur-Yon,85191,-1.4231,46.6676,38410,11395,27015,767,563,25685,MACRON,6450,https://www.liberation.fr/resultats-elections/pays-de-la-loire/vendee/la-roche-sur-yon-85191/
Le Cannet,06030,7.0016,43.5709,27543,8237,19306,577,410,18319,MÉLENCHON,4931,https://www.liberation.fr/resultats-elections/provence-alpes-cote-d-azur/alpes-maritimes/le-cannet-06030/
Marseille 10eme arrondissement,13055AR10,5.42681101081,43.2755155435,33574,10100,23474,691,497,22286,MÉLENCHON,5769,https://www.liberation.fr/resultats-elections/provence-alpes-cote-d-azur/bouches-du-rhone/marseille-13055/
Marseille 5eme arrondissement,13055AR05,5.3975770959,43.2928061953,24984,7587,17397,578,309,16510,MÉLENCHON,4354,https://www.liberation.fr/resultats-elections/provence-alpes-cote-d-azur/bouches-du-rhone/marseille-13055/
Poissy,78498,2.0237,48.923,22018,6570,15448,540,308,14600,MACRON,3982,https://www.liberation.fr/resultats-elections/ile-de-france/yvelines/poissy-78498/
Montrouge,92049,2.3154,48.8159,28569,8358,20211,570,374,19267,MACRON,5855,https://www.liberation.fr/resultats-elections/ile-de-france/hauts-de-seine/montrouge-92049/
Poitiers,86194,0.3631,46.5822,43633,13129,30504,899,599,29006,MACRON,6686,https://www.liberation.fr/resultats-elections/nouvelle-aquitaine/vienne/poitiers-86194/
Sartrouville,78586,2.1777,48.9375,30512,9117,21395,652,437,20306,MACRON,5560,https://www.liberation.fr/resultats-elections/ile-de-france/yvelines/sartrouville-78586/
Vichy,03310,3.4274,46.1306,17268,5155,12113,310,247,11556,MACRON,2588,https://www.liberation.fr/resultats-elections/auvergne-rhone-alpes/allier/vichy-03310/
Gap,05061,6.0628,44.572,29047,8566,20481,634,378,19469,MACRON,4024,https://www.liberation.fr/resultats-elections/provence-alpes-cote-d-azur/hautes-alpes/gap-05061/
La Ciotat,13028,5.6176,43.1811,30040,9127,20913,559,436,19918,MÉLENCHON,5185,https://www.liberation.fr/resultats-elections/provence-alpes-cote-d-azur/bouches-du-rhone/la-ciotat-13028/
Drancy,93029,2.4514,48.9235,35238,10591,24647,697,450,23500,PÉCRESSE,7148,https://www.liberation.fr/resultats-elections/ile-de-france/seine-st-denis/drancy-93029/
Le Perreux-sur-Marne,94058,2.5052,48.8437,23293,7053,16240,464,306,15470,MACRON,4094,https://www.liberation.fr/resultats-elections/ile-de-france/val-de-marne/le-perreux-sur-marne-94058/
Carcassonne,11069,2.3567,43.2091,27576,8300,19276,539,382,18355,MÉLENCHON,4901,https://www.liberation.fr/resultats-elections/occitanie/aude/carcassonne-11069/
Sainte-Foy-lès-Lyon,69202,4.7928,45.7345,15260,4525,10735,302,180,10253,MACRON,2522,https://www.liberation.fr/resultats-elections/auvergne-rhone-alpes/rhone/sainte-foy-les-lyon-69202/
Mandelieu-la-Napoule,06079,6.9262,43.5299,18210,5395,12815,347,273,12195,LE PEN,3283,https://www.liberation.fr/resultats-elections/provence-alpes-cote-d-azur/alpes-maritimes/mandelieu-la-napoule-06079/
Arras,62041,2.7659,50.2895,26536,7812,18724,585,373,17766,MÉLENCHON,5826,https://www.liberation.fr/resultats-elections/hauts-de-france/pas-de-calais/arras-62041/
Aubagne,13005,5.551,43.2971,33177,10045,23132,707,427,21998,MÉLENCHON,5743,https://www.liberation.fr/resultats-elections/provence-alpes-cote-d-azur/bouches-du-rhone/aubagne-13005/
