permis_date,dta,date_actualisation_dta,tous_locaux_visites,presence_amiante,obligation_surveillance,date_derniere_visite,obligation_mesure_taux_empoussierement,obligation_travaux,dta_consultable,lieu_dta_consultable,precision,type,secteur,code,Latitude,Longitude,collectivite
1,OUI,11/17/2011,OUI,OUI,OUI,11/17/2011,NON,NON,OUI,,,1ORD,PU,0751403T,48.858219000955934,2.3453810467178284,1
1,OUI,12/23/2009,OUI,OUI,,,NON,NON,OUI,,"Le désamiantage d'une zone de l'établissement est prévu cet été normalement.
Si l'entreprise qui intervient sur le lycée n'avait pas le temps, d'autres périodes de travaux prévues sur les vacances scolaires jusqu'en décembre 2017 permettront  de le fair",LP,PU,0752700C,48.88267930545693,2.3762143938664355,3
1,OUI,9/18/2009,OUI,OUI,OUI,,,OUI,NON,,Les travaux de désamiantage ont été réalisés dans les zones identifiées contenant de l'amiante,LYC,PR,0754924V,48.82826620285785,2.3529045755658684,3
1,OUI,8/18/2009,OUI,OUI,OUI,,NON,NON,OUI,,les travaux de désamiantages ont été réalisés dans les zones identifiées contenant de l'amiante,CLG,PR,0753985Z,48.82826620285785,2.3529045755658684,2
1,OUI,10/1/2013,OUI,OUI,NON,,NON,NON,OUI,,De la fibre d’amiante a été repérée dans des conduits de ventilation en ciment et dans de la colle.,LYC,PU,0750699C,48.865550284044865,2.2794422976469617,3
1,OUI,4/16/2008,OUI,OUI,NON,,NON,NON,OUI,,"Le DTA précise ""Actions à mener par le propriétaire: sans objet""
La présence d'amiante se limite à du fibrociment présent dans certaines caves des logements de fonction.",LYC,PU,0750712S,48.881512081642704,2.3958761778429154,3
1,OUI,11/15/2013,OUI,OUI,OUI,11/15/2013,NON,OUI,OUI,,"Le DTA est consultable dans le bureau du Gestionnaire du collège. Il est également disponible à la Direction des Affaires Scolaires du Département de Paris.

A noter : il reste un seul élément amianté : une cheminée sur le toit de la SEGPA (voir mail ",CLG,PU,0752252R,48.89580660255976,2.332812845002539,2
1,OUI,12/17/2007,OUI,OUI,OUI,12/17/2007,,NON,OUI,,,CLG,PU,0751706X,48.87628847863291,2.3765240843979067,2
1,OUI,4/12/2010,OUI,NON,NON,,NON,NON,OUI,Autres,consultable à l'intendance ( bureau intendante).,LYC,PU,0750652B,48.85423829245597,2.3604825865320183,3
1,OUI,9/1/2016,OUI,OUI,NON,,NON,OUI,,,Pour la question 9 il s'agir de recommandations de travaux et non d'obligations,LYC,PR,0753852E,48.847382385184495,2.314654892584997,3
1,OUI,9/1/2006,OUI,OUI,NON,,NON,NON,OUI,,Pour la question 9 il s'agit de recommandations de travaux et non d'obligations,CLG,PR,0752894N,48.847382385184495,2.314654892584997,2
1,OUI,5/28/2008,NON,OUI,NON,,OUI,NON,OUI,,,LYC,PU,0750667T,48.87480670726427,2.326931504800001,3
1,NON,,,,,,,,,,,LP,PU,0752388N,48.86023367872918,2.345241238509589,3
1,OUI,11/29/2016,NON,OUI,NON,,NON,NON,OUI,,,CLG,PU,0752530T,48.87882208370303,2.317688142529036,2
1,OUI,5/16/2006,OUI,NON,NON,,NON,NON,OUI,Autres,,LYC,PR,0754666P,48.868275830812166,2.2823723855679403,3
1,OUI,6/17/2006,OUI,NON,NON,,NON,NON,OUI,,"CONCLUSION DU DTA  du 17.03.2006 : la visite du site n'a pas mis en évidence de flocage, calorifugeage ou faux plafonds susceptibles de contenir de l'amiante",LYC,PU,0754530S,48.866194660660675,2.3935687431491317,3
1,OUI,6/9/2016,OUI,OUI,NON,,NON,OUI,OUI,,"Dans le cadre d'un permis de construire déposé début juin 2016 et d'une mise aux normes ERP déposé en septembre 2015, des travaux de désamiantage (plinthes..) sont prévus en juillet 2016 sur une partie des bâtiments sans attendre l'accord du permis de con",1ORD,PR,0750301V,48.86199397608714,2.2759706401662214,1
1,NON,,,,,,,,,,,CLG,PU,0752317L,48.845292829730816,2.291592390276873,2
1,NON,,,,,,,,,,,LYC,PR,0754037F,48.88108382384417,2.3159390389045558,3
1,OUI,5/13/1997,OUI,NON,,,,,,,,1ORD,PR,0750352A,48.87629471521457,2.3836330001415624,1
1,OUI,1/29/1997,OUI,OUI,OUI,8/28/2001,NON,NON,OUI,"Collectivité locale de rattachement (Mairie, Conseil départemental, Conseil régional)","TRAVAUX DE DESAMIANTAGE REALISES EN 2001.
DIAGNOSTIC A DEMANDER AU SERVICE TECHNIQUE DE LA REGION ILE DE FRANCE",LYC,PU,0750653C,48.85486006491122,2.3581907603910155,3
1,OUI,2/3/2014,OUI,OUI,OUI,,NON,NON,OUI,,,CLG,PU,0752385K,48.83140978880208,2.3625022649846783,2
1,OUI,6/12/2013,OUI,OUI,OUI,7/1/2015,NON,NON,OUI,,,1ORD,PU,0751023E,48.82655339219613,2.340320530818809,1
2,OUI,,OUI,NON,NON,,NON,NON,,,,1ORD,PR,0750256W,48.834028138840296,2.326612035248989,1
1,OUI,12/20/2006,OUI,OUI,OUI,10/22/2013,NON,OUI,OUI,,"-Travaux de coffrage du revêtment amiante ciment réalisés en juin 2016

- Dalles de sol local serveur (dossier à l'étude pour le retraitdes dalles concernées)",CLG,PU,0751703U,48.864522765637616,2.3353072908616315,2
1,OUI,1/15/2007,OUI,OUI,OUI,,NON,NON,OUI,,Il est recommandé de procéder à une surveillance régulière de l'état de conservation des matériaux amiantés en bon état et de procéder au recouvrement des parties dégradées des matériaux amiantés (chambre de la gardienne). A ce jour rien a été fait pour l,CLG,PU,0751563S,48.843625121647555,2.310165488248194,2
1,OUI,4/30/2010,OUI,OUI,NON,,NON,NON,OUI,,,LP,PU,0752109K,48.89188469974884,2.3460256815887184,3
1,NON,,,,,,,,,,,LP,PU,0752845K,48.85122723789424,2.372539336586371,3
1,OUI,7/17/2013,OUI,NON,NON,,NON,NON,OUI,,,1ORD,PR,0752820H,48.8783513947377,2.3063622081669752,1
1,OUI,9/11/2008,OUI,OUI,OUI,9/11/2008,NON,OUI,OUI,,,CLG,PU,0752318M,48.83170585351645,2.3047446534541254,2
1,OUI,9/22/2008,OUI,OUI,OUI,,NON,NON,OUI,Autres,Les travaux de désamiantage du local vide ordure de la cuisine où se trouve l'amiante sont prévus cet été 2016.,CLG,PU,0750575T,48.885939376598216,2.3781186074867566,2
1,OUI,8/2/2012,OUI,NON,,,,,OUI,,,1ORD,PR,0750209V,48.877486950922915,2.3416879022017048,1
2,OUI,2/16/2016,OUI,OUI,NON,,NON,NON,OUI,,,LYC,PU,0750674A,48.87897742417242,2.349967430959163,3
1,OUI,5/29/2015,OUI,OUI,OUI,7/29/2015,OUI,OUI,OUI,,,CLG,PR,0752918P,48.846728882203095,2.262968763021429,2
2,NON,,,,,,,,,,,1ORD,PR,0755054L,48.88901989554393,2.29095794089518,1
1,OUI,7/1/1992,OUI,NON,NON,,NON,NON,NON,"Collectivité locale de rattachement (Mairie, Conseil départemental, Conseil régional)",,LP,PU,0750793E,48.8482766803677,2.286858610300342,3
1,OUI,6/16/2015,OUI,OUI,NON,,NON,NON,OUI,,"Amiante uniquement présent dans la colle utilisée pour les carrelages.
Une procédure de désamiantage a été effectuée en avril 2016 pour tous les locaux soumis aux travaux de rénovation entrepris depuis le 1er février 2016.",1ORD,PR,0750281Y,48.83986036739476,2.3078295788069254,1
1,OUI,7/15/2011,OUI,OUI,OUI,7/15/2011,NON,NON,OUI,,,LYC,PU,0750657G,48.844184912693116,2.336144428605475,3
1,OUI,7/21/2006,OUI,OUI,NON,,NON,NON,OUI,,,1ORD,PU,0752768B,48.87307572859307,2.3937940203130896,1
1,OUI,4/8/2002,OUI,OUI,NON,,NON,NON,OUI,,Présence d'amiante dans des dalles de sol dans un logement qui a depuis fait l'objet d'une réhabilitation et donc de désamiantage,LP,PU,0752846L,48.83340984908563,2.326377527865814,3
1,OUI,2/12/1998,OUI,NON,NON,,NON,,OUI,,"Suite à des travaux importants, suppression d'amiante à divers endroits.
Diagnostiques avant travaux en 2012 - 2015 - 2016",1ORD,PR,0750236Z,48.844283354214156,2.4016900139146866,1
1,OUI,6/15/2015,OUI,OUI,OUI,6/15/2015,OUI,OUI,OUI,,,1ORD,PR,0750297R,48.84648162112051,2.2613751987334427,1
1,OUI,7/6/2006,NON,OUI,NON,,NON,NON,OUI,,"Le lycée Jacques Monod occupe 2 sites.
Premier site : 12 rue Victor Cousin 75005 Paris. Le DTA réalisé en 2006 conclut à l'absence d'amiante d'après les informations du Conseil départemental qui dispose du DTA.
Deuxième site : 44 rue des Jeûneurs 7500",LYC,PU,0750428H,48.84760440515828,2.342190764989066,3
1,OUI,10/1/2012,NON,NON,NON,,NON,NON,OUI,,,1ORD,PR,0754701C,48.871397265876595,2.3807339240362784,1
1,OUI,,,,,,,,,,,1ORD,PR,0750136R,48.8668886496614,2.3473468928257595,1
1,OUI,,OUI,OUI,NON,,NON,OUI,OUI,,,LYC,PU,0750671X,48.88125773379325,2.339868947818542,3
1,OUI,10/20/2015,NON,NON,NON,10/21/2014,NON,NON,OUI,,Sur le rapport est mentionné une salle qui n'a pas été visitée et pour laquelle une visite est à programmer,LP,PU,0750776L,48.874592884660274,2.3636398046750413,3
1,OUI,12/14/2006,OUI,OUI,OUI,11/8/2012,NON,NON,OUI,,"Des travaux ont été effectués en 2014/2015, les zones ou de l'amiante avait été repéré en 2006 et 2012 ont été traitées et totalement restructurées.",1ORD,PR,0750169B,48.84100442841867,2.3338195939921995,1
1,OUI,12/14/2006,OUI,OUI,OUI,,NON,NON,OUI,,"une partie des bâtiments ont été construits après 1997, à l'occasion de la construction de deux nouveaux bâtiments en 2000.",CLG,PR,0752874S,48.84100442841867,2.3338195939921995,2
1,OUI,12/14/2006,OUI,OUI,OUI,11/8/2012,NON,NON,OUI,,"Des travaux ont été effectués en 2014/2015, les zones ou l'amiante avait été repéré en 2006 et 2012 ont été traitées et totalement restructurées.",LYC,PR,0753647G,48.84100442841867,2.3338195939921995,3
1,OUI,10/25/2010,NON,OUI,NON,,NON,NON,OUI,,"Les locaux non visités sont pour la plupart des locaux à archives,des réserves,des caves, local machinerie ascenseur,chaufferie situés au RDC ou niveau R-1.Pour les locaux où il y a présence d'amiante(Salle classe R43 ,R12, réserves,buanderie logement CPE",LYC,PU,0750664P,48.876455991763926,2.322290806034076,3
1,OUI,3/7/2014,OUI,OUI,NON,,NON,NON,OUI,,"Le rapport 2014 effectué par l'organisme QUALICONSULT mentionne des traces de fibres d'amiantes (type Chrysotile) dans les colles sous plinthes. Depuis, l'établissement a été totalement rénové.",LYC,PR,0753933T,48.859575207317626,2.2854799668230874,3
1,OUI,11/12/2013,OUI,OUI,OUI,,NON,NON,OUI,,Tous les locaux ont été visités à l'exception du TGBT situé au niveau -1.,CLG,PU,0752542F,48.848477691609716,2.3860183522433336,2
2,NON,,,,,,,,,,,CLG,PR,0755052J,48.87668747607578,2.3725066635807064,2
1,OUI,11/27/2014,NON,OUI,NON,,NON,NON,OUI,,"Référence: Pré-rapport de mission de repérage des matériaux et produits contenant de l'amante avant réalisation de travaux 
demandeur: conseil Régional d'Ile de France
Rapport de visite no RDA2711/92083",LYC,PU,0750655E,48.84800648364869,2.3441684293976905,3
2,,,,,,,,,,,,1ORD,PU,0010244K,45.92186146885469,4.883361159162624,1
2,NON,,,,,,,,,,,1ORD,PU,0010752M,46.159250617597934,5.417373285731043,1
2,NON,,,,,,,,,,,1ORD,PU,0010960N,46.071354243240435,5.205592392904247,1
1,OUI,3/15/2004,OUI,,NON,,NON,NON,OUI,,,LP,PU,0010021T,46.20168896952871,5.221206657118483,3
2,,,,,,,,,,,,CLG,PU,0011071J,46.383332230086964,5.348766523423366,2
2,NON,,,,,,,,,,,1ORD,PU,0010735U,46.380494640457925,4.955019503203747,1
1,OUI,,OUI,,,,,,NON,"Collectivité locale de rattachement (Mairie, Conseil départemental, Conseil régional)",,1ORD,PU,0010240F,45.93904938196101,4.7830151601330115,1
2,OUI,8/21/2014,OUI,NON,NON,,NON,NON,NON,"Collectivité locale de rattachement (Mairie, Conseil départemental, Conseil régional)",,1ORD,PU,0011270A,46.005641624683726,5.363577922943149,1
1,OUI,10/13/2004,,NON,,,,,NON,"Collectivité locale de rattachement (Mairie, Conseil départemental, Conseil régional)",,1ORD,PU,0010239E,45.94436678269882,4.766330328003996,1
1,OUI,11/2/2005,NON,NON,NON,,NON,NON,OUI,,,1ORD,PU,0010171F,46.2270236430316,5.615763276108155,1
1,,,,,,,,,,,L'école ne dispose pas de ces informations. Contactez la Mairie.,1ORD,PU,0010334H,46.27716626595604,4.89286493644914,1
1,OUI,3/11/2009,OUI,NON,NON,,NON,,OUI,,,1ORD,PU,0010182T,46.26005318977511,5.649846623659421,1
1,OUI,10/1/2012,NON,NON,NON,,NON,NON,OUI,,,1ORD,PU,0011316A,46.29021649225594,5.1624414159219185,1
2,,,,,,,,,,,,1ORD,PU,0010436U,45.99962441692989,4.848337463897737,1
1,OUI,7/2/2010,OUI,OUI,NON,,NON,NON,OUI,,,CLG,PU,0011142L,45.85240317048008,5.085014276190882,2
1,OUI,7/6/2015,OUI,OUI,NON,,NON,NON,NON,"Collectivité locale de rattachement (Mairie, Conseil départemental, Conseil régional)","L'école est en reconstruction complète, fin des travaux pour la rentrée 2017. Il n'y aura donc plus aucune trace d'amiante dans notre nouvel établissement.",1ORD,PU,0011024H,46.27556621795946,4.973205990626618,1
1,OUI,10/17/2005,OUI,OUI,NON,,NON,NON,OUI,,Présence d'allèges en panneaux sandwich constitués de 2 plaques en amiante ciment avec une âme isolante à l'intérieure. Bon état de conservation donc pas de mesures particulières demandées.,1ORD,PU,0010981L,45.92788232596527,4.954767379606963,1
1,OUI,5/12/2016,OUI,NON,NON,,NON,NON,OUI,,,1ORD,PR,0010832Z,46.10870685887559,4.7803525670722715,1
1,NON,,,,,,,,,,,CLG,PU,0011301J,46.25572677516365,6.073502992853679,2
1,OUI,3/11/2009,OUI,OUI,NON,,NON,NON,OUI,,Très peu d'informations disponibles dans l'établissement concernant la présence d'amiante et les éventuelles mesures d'entretiens des locaux... Pas d'information si des visites de contrôle postérieures à 2009 ont été effectuées.,1ORD,PU,0010183U,46.25860848551601,5.649090861858561,1
2,NON,,,,,,,,,,,1ORD,PU,0010187Y,46.261655450558,5.660029210159844,1
1,OUI,,OUI,NON,NON,,NON,NON,NON,"Collectivité locale de rattachement (Mairie, Conseil départemental, Conseil régional)",Ce n'est pas un DTA  mais un rapport diagnostic de l'apave élaboré le 17 / 02/ 1998,1ORD,PU,0010205T,45.952623100751936,5.610957308017159,1
1,OUI,11/1/2007,OUI,NON,NON,,NON,NON,NON,"Collectivité locale de rattachement (Mairie, Conseil départemental, Conseil régional)",,1ORD,PU,0011021E,46.459387989146755,5.080889865214921,1
2,,,,,,,,,,,,CLG,PU,0011338Z,45.930707227254494,4.814157200920096,2
1,OUI,10/17/2005,OUI,OUI,OUI,3/13/2015,NON,OUI,NON,"Collectivité locale de rattachement (Mairie, Conseil départemental, Conseil régional)","L'école maternelle de l'Etraz est reconstruite, livraison du nouveau bâtiment fin juin 2016. 
Les anciens locaux seront désamiantés et détruits cet été.",1ORD,PU,0011031R,45.89542778930214,5.344063158747772,1
1,OUI,2/24/2010,NON,NON,NON,,NON,NON,OUI,,,CLG,PU,0010802S,46.253597328260184,5.637916275936606,2
1,OUI,7/5/2006,OUI,NON,NON,,NON,NON,OUI,,,CLG,PU,0011275F,46.19340756773674,5.228477781581615,2
0,,,,OUI,,,,,NON,"Collectivité locale de rattachement (Mairie, Conseil départemental, Conseil régional)","Les bâtiments appartiennent à la mairie
Ils seront beaucoup plus aptes à répondre ...",1ORD,PU,0010777P,46.20328219246623,5.230106606912913,1
2,NON,,,,,,,,,,,1ORD,PU,0011412E,46.28256935148603,6.085538801630053,1
1,NON,,,,,,,,,,,1ORD,PU,0010477N,45.88502258966588,5.370711774450908,1
2,,,,,,,,,,,Ecole neuve construite en 2009,1ORD,PU,0010755R,46.163257755636565,5.326726167697613,1
1,OUI,7/31/2015,OUI,NON,NON,,NON,NON,,"Collectivité locale de rattachement (Mairie, Conseil départemental, Conseil régional)",,1ORD,PU,0010306C,46.4244191263432,5.098508550091738,1
2,NON,,,,,,,,,,,1ORD,PU,0011339A,46.317486422217996,6.070442604130437,1
1,NON,,,,,,,,,,,1ORD,PU,0010702H,46.34746598864518,5.320751151012376,1
1,OUI,7/11/2013,OUI,OUI,OUI,,NON,NON,NON,"Collectivité locale de rattachement (Mairie, Conseil départemental, Conseil régional)",repérage d'un élément dans un local de chaufferie non ouverte au public dans une annexe servant de cantine et garderie,1ORD,PU,0010108M,46.34810028200782,6.08925407758616,1
1,NON,,,,,,,,,,,1ORD,PU,0010391V,46.15348037389865,5.816611399009122,1
2,,,,,,,,,,,,1ORD,PU,0010957K,46.22358475574603,4.991522464324297,1
1,OUI,,OUI,NON,NON,,NON,NON,NON,"Collectivité locale de rattachement (Mairie, Conseil départemental, Conseil régional)",,1ORD,PU,0010750K,46.21802526030403,5.366772845537746,1
2,NON,,,,,,,,,,,1ORD,PU,0011214P,46.21145735265142,5.73683908770398,1
1,NON,,,,,,,,,,,1ORD,PU,0010817H,46.25302633716405,5.214945518390824,1
1,NON,,,,,,,,,,,1ORD,PU,0010415W,46.093139304965284,5.544632910971693,1
1,,,OUI,,,,,,,,"Je ne suis pas capable de répondre à questionnaire.
je ne sais pas où se trouve le DTA.
La mairie de Bourg en Bresse propriétaire des lieux est sûrement habilitée à répondre.",1ORD,PU,0010197J,46.206520278649435,5.235587926823518,1
2,NON,,,,,,,,,,,CLG,PU,0011388D,46.18684702251615,5.921698620820321,2
