LibSubCom,code_commune,longitude,latitude,Inscrits,Abstentions,Votants,Blancs,Nuls,Exprimes,entete,nb_voix,url_libe
Neuilly-sur-Seine,92051,2.2642,48.887,36838,11162,25676,791,576,24309,CHAPUIS,20822,https://www.liberation.fr/resultats-elections/ile-de-france/hauts-de-seine/neuilly-sur-seine-92051/
Reims,51454,4.0438,49.2484,99659,29874,69785,2018,1343,66424,CHAPUIS,37925,https://www.liberation.fr/resultats-elections/grand-est/marne/reims-51454/
Nîmes,30189,4.346,43.8425,88650,27051,61599,1801,1248,58550,CHAPUIS,31871,https://www.liberation.fr/resultats-elections/occitanie/gard/nimes-30189/
Dijon,21231,5.0377,47.3238,81737,24344,57393,1672,1119,54602,CHAPUIS,35149,https://www.liberation.fr/resultats-elections/bourgogne-franche-comte/cote-d-or/dijon-21231/
Angers,49007,-0.5628,47.4776,91850,27496,64354,1928,1327,61099,CHAPUIS,44461,https://www.liberation.fr/resultats-elections/pays-de-la-loire/maine-et-loire/angers-49007/
Paris 11eme arrondissement,75056AR11,2.37874106024,48.8594154976,90798,27241,63557,1891,1267,60399,CHAPUIS,53970,https://www.liberation.fr/resultats-elections/ile-de-france/paris/paris-75056/
Grenoble,38185,5.7301,45.1825,85847,25477,60370,1698,1164,57508,CHAPUIS,37734,https://www.liberation.fr/resultats-elections/auvergne-rhone-alpes/isere/grenoble-38185/
Annecy,74010,6.1014,45.8985,81616,24353,57263,1624,1170,54469,CHAPUIS,37396,https://www.liberation.fr/resultats-elections/auvergne-rhone-alpes/haute-savoie/annecy-74010/
Besançon,25056,6.0285,47.26,65236,19883,45353,1412,915,43026,CHAPUIS,27444,https://www.liberation.fr/resultats-elections/bourgogne-franche-comte/doubs/besancon-25056/
Rueil-Malmaison,92063,2.175,48.8679,54936,16577,38359,1058,737,36564,CHAPUIS,31344,https://www.liberation.fr/resultats-elections/ile-de-france/hauts-de-seine/rueil-malmaison-92063/
Marseille 8eme arrondissement,13055AR08,5.37464436293,43.2417271832,54891,16351,38540,1107,759,36674,CHAPUIS,21352,https://www.liberation.fr/resultats-elections/provence-alpes-cote-d-azur/bouches-du-rhone/marseille-13055/
Levallois-Perret,92044,2.2836,48.8959,43457,12984,30473,936,603,28934,CHAPUIS,24884,https://www.liberation.fr/resultats-elections/ile-de-france/hauts-de-seine/levallois-perret-92044/
Le Mans,72181,0.2016,47.9908,89888,27088,62800,2015,1241,59544,CHAPUIS,37721,https://www.liberation.fr/resultats-elections/pays-de-la-loire/sarthe/le-mans-72181/
Courbevoie,92026,2.2596,48.9005,52133,15556,36577,1059,707,34811,CHAPUIS,29573,https://www.liberation.fr/resultats-elections/ile-de-france/hauts-de-seine/courbevoie-92026/
Paris 20eme arrondissement,75056AR20,2.40081982673,48.8631867774,115193,35167,80026,2405,1625,75996,CHAPUIS,68029,https://www.liberation.fr/resultats-elections/ile-de-france/paris/paris-75056/
Paris 18eme arrondissement,75056AR18,2.34871193387,48.8927350746,106681,32366,74315,2282,1435,70598,CHAPUIS,63210,https://www.liberation.fr/resultats-elections/ile-de-france/paris/paris-75056/
Saint-Etienne,42218,4.3807,45.4283,87580,26457,61123,1933,1209,57981,CHAPUIS,36888,https://www.liberation.fr/resultats-elections/auvergne-rhone-alpes/loire/saint-etienne-42218/
Saint-Maur-des-Fossés,94068,2.4926,48.8018,49426,15222,34204,1050,712,32442,CHAPUIS,26123,https://www.liberation.fr/resultats-elections/ile-de-france/val-de-marne/saint-maur-des-fosses-94068/
Perpignan,66136,2.8972,42.7018,66645,19888,46757,1434,911,44412,CHAPUIS,23478,https://www.liberation.fr/resultats-elections/occitanie/pyrenees-orientales/perpignan-66136/
Ajaccio,2A004,8.6694,41.932,36368,10899,25469,726,473,24270,CHAPUIS,12209,https://www.liberation.fr/resultats-elections/corse/corse-du-sud/ajaccio-2A004/
Paris 19eme arrondissement,75056AR19,2.38469432787,48.886868623,106629,32547,74082,2155,1411,70516,CHAPUIS,63138,https://www.liberation.fr/resultats-elections/ile-de-france/paris/paris-75056/
Paris 7eme arrondissement,75056AR07,2.31243868773,48.8560825982,32266,9539,22727,622,431,21674,CHAPUIS,19459,https://www.liberation.fr/resultats-elections/ile-de-france/paris/paris-75056/
Amiens,80021,2.2924,49.8935,72573,21548,51025,1430,960,48635,CHAPUIS,26252,https://www.liberation.fr/resultats-elections/hauts-de-france/somme/amiens-80021/
Asnières-sur-Seine,92004,2.2863,48.9167,47674,14310,33364,1000,711,31653,CHAPUIS,27160,https://www.liberation.fr/resultats-elections/ile-de-france/hauts-de-seine/asnieres-sur-seine-92004/
Le Havre,76351,0.1284,49.5069,103211,31225,71986,2167,1479,68340,CHAPUIS,41448,https://www.liberation.fr/resultats-elections/normandie/seine-maritime/le-havre-76351/
Clermont-Ferrand,63113,3.1074,45.7825,71099,20955,50144,1478,999,47667,CHAPUIS,34059,https://www.liberation.fr/resultats-elections/auvergne-rhone-alpes/puy-de-dome/clermont-ferrand-63113/
Issy-les-Moulineaux,92040,2.261,48.8224,45131,13514,31617,993,623,30001,CHAPUIS,25581,https://www.liberation.fr/resultats-elections/ile-de-france/hauts-de-seine/issy-les-moulineaux-92040/
Antony,92002,2.2957,48.7487,41926,12468,29458,850,546,28062,CHAPUIS,24174,https://www.liberation.fr/resultats-elections/ile-de-france/hauts-de-seine/antony-92002/
Caen,14118,-0.3719,49.1798,54771,16420,38351,1108,759,36484,CHAPUIS,24408,https://www.liberation.fr/resultats-elections/normandie/calvados/caen-14118/
Limoges,87085,1.2531,45.8597,74245,22050,52195,1444,1066,49685,CHAPUIS,35164,https://www.liberation.fr/resultats-elections/nouvelle-aquitaine/haute-vienne/limoges-87085/
Dunkerque,59183,2.3386,51.0346,61076,18238,42838,1353,861,40624,CHAPUIS,23115,https://www.liberation.fr/resultats-elections/hauts-de-france/nord/dunkerque-59183/
Calais,62193,1.8749,50.9596,51252,15274,35978,1135,756,34087,BAVÉLÈRE,17890,https://www.liberation.fr/resultats-elections/hauts-de-france/pas-de-calais/calais-62193/
Fréjus,83061,6.774,43.465,37502,11560,25942,818,547,24577,CHAPUIS,12511,https://www.liberation.fr/resultats-elections/provence-alpes-cote-d-azur/var/frejus-83061/
Cannes,06029,7.0191,43.5384,48787,14488,34299,912,686,32701,CHAPUIS,18127,https://www.liberation.fr/resultats-elections/provence-alpes-cote-d-azur/alpes-maritimes/cannes-06029/
Tours,37261,0.6947,47.3952,80492,23893,56599,1636,1068,53895,CHAPUIS,37432,https://www.liberation.fr/resultats-elections/centre-val-de-loire/indre-et-loire/tours-37261/
Antibes,06004,7.1178,43.5734,52353,15796,36557,1077,669,34811,CHAPUIS,19141,https://www.liberation.fr/resultats-elections/provence-alpes-cote-d-azur/alpes-maritimes/antibes-06004/
Maisons-Alfort,94046,2.4389,48.8082,36323,11008,25315,712,544,24059,CHAPUIS,19265,https://www.liberation.fr/resultats-elections/ile-de-france/val-de-marne/maisons-alfort-94046/
Pessac,33318,-0.6499,44.8012,42524,12896,29628,882,595,28151,CHAPUIS,19674,https://www.liberation.fr/resultats-elections/nouvelle-aquitaine/gironde/pessac-33318/
Lyon 6eme arrondissement,69123AR06,4.85207911437,45.7728507239,29602,9088,20514,628,422,19464,CHAPUIS,14282,https://www.liberation.fr/resultats-elections/auvergne-rhone-alpes/rhone/lyon-69123/
Saint-Quentin,02691,3.2889,49.8457,33910,10186,23724,651,478,22595,BAVÉLÈRE,11859,https://www.liberation.fr/resultats-elections/hauts-de-france/aisne/saint-quentin-02691/
Lyon 3eme arrondissement,69123AR03,4.86918522013,45.7533552486,51543,15420,36123,1108,706,34309,CHAPUIS,25231,https://www.liberation.fr/resultats-elections/auvergne-rhone-alpes/rhone/lyon-69123/
Rouen,76540,1.0984,49.4432,56915,16847,40068,1188,825,38055,CHAPUIS,23052,https://www.liberation.fr/resultats-elections/normandie/seine-maritime/rouen-76540/
Marseille 9eme arrondissement,13055AR09,5.45249683067,43.2340834927,48846,14748,34098,953,668,32477,CHAPUIS,18841,https://www.liberation.fr/resultats-elections/provence-alpes-cote-d-azur/bouches-du-rhone/marseille-13055/
Marseille 13eme arrondissement,13055AR13,5.43372238738,43.3492780005,53579,16197,37382,1200,756,35426,CHAPUIS,20503,https://www.liberation.fr/resultats-elections/provence-alpes-cote-d-azur/bouches-du-rhone/marseille-13055/
Marcq-en-Baroeul,59378,3.1041,50.6773,29190,8602,20588,589,449,19550,CHAPUIS,11156,https://www.liberation.fr/resultats-elections/hauts-de-france/nord/marcq-en-baroeul-59378/
Béziers,34032,3.2358,43.3596,46033,13756,32277,923,606,30748,CHAPUIS,18196,https://www.liberation.fr/resultats-elections/occitanie/herault/beziers-34032/
Clamart,92023,2.2535,48.7978,35746,10658,25088,742,503,23843,CHAPUIS,20156,https://www.liberation.fr/resultats-elections/ile-de-france/hauts-de-seine/clamart-92023/
Colombes,92025,2.2506,48.9226,48523,14481,34042,996,692,32354,CHAPUIS,27509,https://www.liberation.fr/resultats-elections/ile-de-france/hauts-de-seine/colombes-92025/
Orléans,45234,1.9172,47.8828,63094,18927,44167,1282,880,42005,CHAPUIS,26701,https://www.liberation.fr/resultats-elections/centre-val-de-loire/loiret/orleans-45234/
Montreuil,93048,2.4501,48.8635,58946,18027,40919,1177,779,38963,CHAPUIS,30697,https://www.liberation.fr/resultats-elections/ile-de-france/seine-st-denis/montreuil-93048/
Avignon,84007,4.8465,43.946,55432,16795,38637,1092,764,36781,CHAPUIS,19599,https://www.liberation.fr/resultats-elections/provence-alpes-cote-d-azur/vaucluse/avignon-84007/
Saint-Germain-en-Laye,78551,2.0864,48.9194,29129,8678,20451,625,378,19448,CHAPUIS,15142,https://www.liberation.fr/resultats-elections/ile-de-france/yvelines/saint-germain-en-laye-78551/
Metz,57463,6.1906,49.1115,69499,20622,48877,1428,960,46489,CHAPUIS,26880,https://www.liberation.fr/resultats-elections/grand-est/moselle/metz-57463/
Brest,29019,-4.5058,48.4059,84518,25206,59312,1984,1168,56160,CHAPUIS,43392,https://www.liberation.fr/resultats-elections/bretagne/finistere/brest-29019/
Mérignac,33281,-0.6601,44.8303,45616,13555,32061,937,651,30473,CHAPUIS,21406,https://www.liberation.fr/resultats-elections/nouvelle-aquitaine/gironde/merignac-33281/
Paris 10eme arrondissement,75056AR10,2.36111290456,48.8760285569,54949,16419,38530,1105,778,36647,CHAPUIS,32849,https://www.liberation.fr/resultats-elections/ile-de-france/paris/paris-75056/
Montauban,82121,1.3736,44.022,40720,11990,28730,826,534,27370,CHAPUIS,15631,https://www.liberation.fr/resultats-elections/occitanie/tarn-et-garonne/montauban-82121/
Le Chesnay-Rocquencourt,78158,2.1206,48.8309,22966,6925,16041,522,298,15221,CHAPUIS,11709,https://www.liberation.fr/resultats-elections/ile-de-france/yvelines/le-chesnay-rocquencourt-78158/
Marseille 12eme arrondissement,13055AR12,5.43991567678,43.3077683678,42687,12842,29845,892,582,28371,CHAPUIS,16370,https://www.liberation.fr/resultats-elections/provence-alpes-cote-d-azur/bouches-du-rhone/marseille-13055/
Paris 9eme arrondissement,75056AR09,2.33746024139,48.8768961624,39053,11553,27500,784,552,26164,CHAPUIS,23403,https://www.liberation.fr/resultats-elections/ile-de-france/paris/paris-75056/
Paris 5eme arrondissement,75056AR05,2.34985938556,48.8445086596,36606,10669,25937,813,536,24588,CHAPUIS,22188,https://www.liberation.fr/resultats-elections/ile-de-france/paris/paris-75056/
Laval,53130,-0.767,48.0662,30498,9281,21217,634,447,20136,CHAPUIS,14443,https://www.liberation.fr/resultats-elections/pays-de-la-loire/mayenne/laval-53130/
Villeurbanne,69266,4.8902,45.7707,84179,25457,58722,1823,1091,55808,CHAPUIS,40886,https://www.liberation.fr/resultats-elections/auvergne-rhone-alpes/rhone/villeurbanne-69266/
Meudon,92048,2.2293,48.8085,29910,8906,21004,649,419,19936,CHAPUIS,17190,https://www.liberation.fr/resultats-elections/ile-de-france/hauts-de-seine/meudon-92048/
Nancy,54395,6.1709,48.6889,52320,15774,36546,1052,655,34839,CHAPUIS,21160,https://www.liberation.fr/resultats-elections/grand-est/meurthe-et-moselle/nancy-54395/
Hyères,83069,6.2545,43.0351,39855,11874,27981,870,520,26591,CHAPUIS,13468,https://www.liberation.fr/resultats-elections/provence-alpes-cote-d-azur/var/hyeres-83069/
Vincennes,94080,2.4391,48.8485,31911,9558,22353,674,473,21206,CHAPUIS,17027,https://www.liberation.fr/resultats-elections/ile-de-france/val-de-marne/vincennes-94080/
Saint-Raphaël,83118,6.8646,43.4421,30516,9263,21253,613,436,20204,BAVÉLÈRE,10105,https://www.liberation.fr/resultats-elections/provence-alpes-cote-d-azur/var/saint-raphael-83118/
Les Sables-d'Olonne,85194,-1.7633,46.5317,40261,12106,28155,810,569,26776,CHAPUIS,18681,https://www.liberation.fr/resultats-elections/pays-de-la-loire/vendee/les-sables-d-olonne-85194/
Albi,81004,2.1448,43.9173,33406,9943,23463,722,423,22318,CHAPUIS,14140,https://www.liberation.fr/resultats-elections/occitanie/tarn/albi-81004/
Cherbourg-en-Cotentin,50129,-1.6439,49.6387,56144,16513,39631,1282,755,37594,CHAPUIS,25170,https://www.liberation.fr/resultats-elections/normandie/manche/cherbourg-en-cotentin-50129/
Paris 8eme arrondissement,75056AR08,2.31258256042,48.8725272666,24562,7130,17432,386,284,16762,CHAPUIS,14885,https://www.liberation.fr/resultats-elections/ile-de-france/paris/paris-75056/
Valence,26362,4.9151,44.926,39494,12066,27428,824,555,26049,CHAPUIS,16340,https://www.liberation.fr/resultats-elections/auvergne-rhone-alpes/drome/valence-26362/
Cagnes-sur-Mer,06027,7.1533,43.67,33556,10057,23499,635,491,22373,CHAPUIS,12284,https://www.liberation.fr/resultats-elections/provence-alpes-cote-d-azur/alpes-maritimes/cagnes-sur-mer-06027/
Paris 6eme arrondissement,75056AR06,2.33267089859,48.8489680919,25935,7739,18196,531,366,17299,CHAPUIS,15480,https://www.liberation.fr/resultats-elections/ile-de-france/paris/paris-75056/
La Seyne-sur-Mer,83126,5.8824,43.0805,44024,13339,30685,919,640,29126,CHAPUIS,14740,https://www.liberation.fr/resultats-elections/provence-alpes-cote-d-azur/var/la-seyne-sur-mer-83126/
Suresnes,92073,2.2168,48.8694,29194,8616,20578,602,408,19568,CHAPUIS,16751,https://www.liberation.fr/resultats-elections/ile-de-france/hauts-de-seine/suresnes-92073/
Pau,64445,-0.3462,43.3197,45854,13825,32029,1028,672,30329,CHAPUIS,22662,https://www.liberation.fr/resultats-elections/nouvelle-aquitaine/pyrenees-atlantiques/pau-64445/
Villeneuve-d'Ascq,59009,3.1574,50.6382,39518,11550,27968,775,579,26614,CHAPUIS,15084,https://www.liberation.fr/resultats-elections/hauts-de-france/nord/villeneuve-d-ascq-59009/
Colmar,68066,7.3936,48.1203,41947,12668,29279,862,584,27833,CHAPUIS,16331,https://www.liberation.fr/resultats-elections/grand-est/haut-rhin/colmar-68066/
Tourcoing,59599,3.1585,50.7253,62409,18623,43786,1348,868,41570,CHAPUIS,23850,https://www.liberation.fr/resultats-elections/hauts-de-france/nord/tourcoing-59599/
Bastia,2B033,9.4372,42.6927,21902,6448,15454,459,291,14704,CHAPUIS,7698,https://www.liberation.fr/resultats-elections/corse/haute-corse/bastia-2B033/
Aulnay-sous-Bois,93005,2.4948,48.9417,44801,13449,31352,844,633,29875,CHAPUIS,23613,https://www.liberation.fr/resultats-elections/ile-de-france/seine-st-denis/aulnay-sous-bois-93005/
Salon-de-Provence,13103,5.1075,43.6423,32334,9686,22648,615,413,21620,CHAPUIS,12447,https://www.liberation.fr/resultats-elections/provence-alpes-cote-d-azur/bouches-du-rhone/salon-de-provence-13103/
Champigny-sur-Marne,94017,2.5222,48.8168,43186,12821,30365,868,597,28900,CHAPUIS,23217,https://www.liberation.fr/resultats-elections/ile-de-france/val-de-marne/champigny-sur-marne-94017/
Narbonne,11262,3.0419,43.1647,38777,11555,27222,804,508,25910,CHAPUIS,14340,https://www.liberation.fr/resultats-elections/occitanie/aude/narbonne-11262/
Dieppe,76217,1.0827,49.9225,21276,6319,14957,487,303,14167,CHAPUIS,8568,https://www.liberation.fr/resultats-elections/normandie/seine-maritime/dieppe-76217/
Cholet,49099,-0.8833,47.0325,37148,10992,26156,705,519,24932,CHAPUIS,18140,https://www.liberation.fr/resultats-elections/pays-de-la-loire/maine-et-loire/cholet-49099/
Saint-Cloud,92064,2.2082,48.8447,19160,5777,13383,389,283,12711,CHAPUIS,10849,https://www.liberation.fr/resultats-elections/ile-de-france/hauts-de-seine/saint-cloud-92064/
Caluire-et-Cuire,69034,4.8532,45.7988,29817,8939,20878,602,399,19877,CHAPUIS,14581,https://www.liberation.fr/resultats-elections/auvergne-rhone-alpes/rhone/caluire-et-cuire-69034/
Lyon 7eme arrondissement,69123AR07,4.83758495703,45.7334098415,35909,10709,25200,815,439,23946,CHAPUIS,17694,https://www.liberation.fr/resultats-elections/auvergne-rhone-alpes/rhone/lyon-69123/
Six-Fours-les-Plages,83129,5.8031,43.0777,30573,9269,21304,531,454,20319,CHAPUIS,10302,https://www.liberation.fr/resultats-elections/provence-alpes-cote-d-azur/var/six-fours-les-plages-83129/
Marseille 11eme arrondissement,13055AR11,5.48381466229,43.2884471881,38597,11663,26934,874,507,25553,CHAPUIS,14767,https://www.liberation.fr/resultats-elections/provence-alpes-cote-d-azur/bouches-du-rhone/marseille-13055/
Taverny,95607,2.2245,49.0308,17922,5248,12674,358,242,12074,CHAPUIS,8801,https://www.liberation.fr/resultats-elections/ile-de-france/val-d-oise/taverny-95607/
Lyon 5eme arrondissement,69123AR05,4.8022536949,45.7558317849,28585,8461,20124,639,438,19047,CHAPUIS,13978,https://www.liberation.fr/resultats-elections/auvergne-rhone-alpes/rhone/lyon-69123/
La Rochelle,17300,-1.171,46.1592,52654,15674,36980,1074,718,35188,CHAPUIS,22641,https://www.liberation.fr/resultats-elections/nouvelle-aquitaine/charente-maritime/la-rochelle-17300/
Martigues,13056,5.0365,43.367,35338,10420,24918,756,477,23685,CHAPUIS,13750,https://www.liberation.fr/resultats-elections/provence-alpes-cote-d-azur/bouches-du-rhone/martigues-13056/
Istres,13047,4.9842,43.519,30087,8883,21204,686,436,20082,CHAPUIS,11645,https://www.liberation.fr/resultats-elections/provence-alpes-cote-d-azur/bouches-du-rhone/istres-13047/
Arles,13004,4.6489,43.5272,37017,11151,25866,826,473,24567,CHAPUIS,14220,https://www.liberation.fr/resultats-elections/provence-alpes-cote-d-azur/bouches-du-rhone/arles-13004/
Hénin-Beaumont,62427,2.9566,50.421,17952,5475,12477,407,255,11815,BAVÉLÈRE,6109,https://www.liberation.fr/resultats-elections/hauts-de-france/pas-de-calais/henin-beaumont-62427/
Sète,34301,3.6624,43.3856,33521,10136,23385,714,464,22207,CHAPUIS,13266,https://www.liberation.fr/resultats-elections/occitanie/herault/sete-34301/
Saint-Nazaire,44184,-2.2463,47.2747,50504,14961,35543,1079,718,33746,CHAPUIS,26084,https://www.liberation.fr/resultats-elections/pays-de-la-loire/loire-atlantique/saint-nazaire-44184/
Mulhouse,68224,7.3289,47.7491,49063,14723,34340,1109,691,32540,CHAPUIS,18838,https://www.liberation.fr/resultats-elections/grand-est/haut-rhin/mulhouse-68224/
Colomiers,31149,1.3188,43.6143,22940,6843,16097,515,318,15264,CHAPUIS,11031,https://www.liberation.fr/resultats-elections/occitanie/haute-garonne/colomiers-31149/
Bourges,18033,2.3987,47.0827,43575,13046,30529,971,567,28991,CHAPUIS,17700,https://www.liberation.fr/resultats-elections/centre-val-de-loire/cher/bourges-18033/
Draguignan,83050,6.4467,43.5402,25020,7654,17366,528,359,16479,CHAPUIS,8386,https://www.liberation.fr/resultats-elections/provence-alpes-cote-d-azur/var/draguignan-83050/
Chatou,78146,2.1511,48.8983,20453,6195,14258,482,292,13484,CHAPUIS,10469,https://www.liberation.fr/resultats-elections/ile-de-france/yvelines/chatou-78146/
Quimper,29232,-4.0916,47.9914,42609,12829,29780,845,571,28364,CHAPUIS,21840,https://www.liberation.fr/resultats-elections/bretagne/finistere/quimper-29232/
Beauvais,60057,2.0851,49.4393,34289,10011,24278,739,476,23063,CHAPUIS,12295,https://www.liberation.fr/resultats-elections/hauts-de-france/oise/beauvais-60057/
Le Plessis-Robinson,92060,2.2623,48.78,19665,5884,13781,401,285,13095,CHAPUIS,11223,https://www.liberation.fr/resultats-elections/ile-de-france/hauts-de-seine/le-plessis-robinson-92060/
Marseille 7eme arrondissement,13055AR07,5.36323440435,43.28251778,24749,7312,17437,556,353,16528,CHAPUIS,9607,https://www.liberation.fr/resultats-elections/provence-alpes-cote-d-azur/bouches-du-rhone/marseille-13055/
Castres,81065,2.2405,43.6145,29999,9064,20935,694,469,19772,CHAPUIS,12581,https://www.liberation.fr/resultats-elections/occitanie/tarn/castres-81065/
La Garenne-Colombes,92035,2.2469,48.9071,19585,5991,13594,487,287,12820,CHAPUIS,11098,https://www.liberation.fr/resultats-elections/ile-de-france/hauts-de-seine/la-garenne-colombes-92035/
Montigny-le-Bretonneux,78423,2.0287,48.775,23426,7009,16417,492,296,15629,CHAPUIS,12079,https://www.liberation.fr/resultats-elections/ile-de-france/yvelines/montigny-le-bretonneux-78423/
La Roche-sur-Yon,85191,-1.4231,46.6676,38336,11623,26713,796,514,25403,CHAPUIS,17649,https://www.liberation.fr/resultats-elections/pays-de-la-loire/vendee/la-roche-sur-yon-85191/
Le Cannet,06030,7.0016,43.5709,27437,8235,19202,519,418,18265,CHAPUIS,10061,https://www.liberation.fr/resultats-elections/provence-alpes-cote-d-azur/alpes-maritimes/le-cannet-06030/
Marseille 10eme arrondissement,13055AR10,5.42681101081,43.2755155435,33547,9787,23760,677,463,22620,CHAPUIS,13120,https://www.liberation.fr/resultats-elections/provence-alpes-cote-d-azur/bouches-du-rhone/marseille-13055/
Marseille 5eme arrondissement,13055AR05,5.3975770959,43.2928061953,24894,7272,17622,527,317,16778,CHAPUIS,9666,https://www.liberation.fr/resultats-elections/provence-alpes-cote-d-azur/bouches-du-rhone/marseille-13055/
Poissy,78498,2.0237,48.923,22031,6788,15243,462,322,14459,CHAPUIS,11126,https://www.liberation.fr/resultats-elections/ile-de-france/yvelines/poissy-78498/
Montrouge,92049,2.3154,48.8159,28567,8532,20035,574,395,19066,CHAPUIS,16246,https://www.liberation.fr/resultats-elections/ile-de-france/hauts-de-seine/montrouge-92049/
Poitiers,86194,0.3631,46.5822,43670,13268,30402,839,582,28981,CHAPUIS,20013,https://www.liberation.fr/resultats-elections/nouvelle-aquitaine/vienne/poitiers-86194/
Sartrouville,78586,2.1777,48.9375,30518,9348,21170,663,448,20059,CHAPUIS,15409,https://www.liberation.fr/resultats-elections/ile-de-france/yvelines/sartrouville-78586/
Vichy,03310,3.4274,46.1306,17301,5196,12105,392,276,11437,CHAPUIS,7348,https://www.liberation.fr/resultats-elections/auvergne-rhone-alpes/allier/vichy-03310/
Gap,05061,6.0628,44.572,29013,8830,20183,576,403,19204,CHAPUIS,12283,https://www.liberation.fr/resultats-elections/provence-alpes-cote-d-azur/hautes-alpes/gap-05061/
La Ciotat,13028,5.6176,43.1811,30072,8902,21170,656,445,20069,CHAPUIS,11526,https://www.liberation.fr/resultats-elections/provence-alpes-cote-d-azur/bouches-du-rhone/la-ciotat-13028/
Drancy,93029,2.4514,48.9235,35214,10441,24773,724,476,23573,CHAPUIS,18540,https://www.liberation.fr/resultats-elections/ile-de-france/seine-st-denis/drancy-93029/
Le Perreux-sur-Marne,94058,2.5052,48.8437,23316,7004,16312,469,329,15514,CHAPUIS,12488,https://www.liberation.fr/resultats-elections/ile-de-france/val-de-marne/le-perreux-sur-marne-94058/
Carcassonne,11069,2.3567,43.2091,27566,8221,19345,560,407,18378,CHAPUIS,10229,https://www.liberation.fr/resultats-elections/occitanie/aude/carcassonne-11069/
Sainte-Foy-lès-Lyon,69202,4.7928,45.7345,15246,4626,10620,275,240,10105,CHAPUIS,7554,https://www.liberation.fr/resultats-elections/auvergne-rhone-alpes/rhone/sainte-foy-les-lyon-69202/
Mandelieu-la-Napoule,06079,6.9262,43.5299,18177,5675,12502,356,249,11897,CHAPUIS,6606,https://www.liberation.fr/resultats-elections/provence-alpes-cote-d-azur/alpes-maritimes/mandelieu-la-napoule-06079/
